 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 7327.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 346034.1 15379136.0    0.0     21248.0 13853.8      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 1845679.2 15379136.0    0.0     27008.0 26731.7      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5652663.2 15379136.0    0.0     39104.0 38917.3      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   74144.7 5767232.0 1295637.9 15379136.0    0.0     47936.0 47856.2      1    0.042   0      0.000    0.042
961152.0 961152.0  0.0   74144.7 5767232.0 4472372.0 15379136.0    0.0     47936.0 47894.2      1    0.042   0      0.000    0.042
961152.0 961152.0 93404.1  0.0   5767232.0 2432839.7 15379136.0    0.0     47936.0 47934.7      2    0.139   0      0.000    0.139
961152.0 961152.0 93404.1 136879.2 5767232.0 5767232.0 15379136.0    0.0     47936.0 47935.4      3    0.139   0      0.000    0.139
961152.0 961152.0  0.0   149775.2 5767232.0 4031610.9 15379136.0    0.0     48128.0 48044.3      3    0.283   0      0.000    0.283
961152.0 961152.0 195039.1  0.0   5767232.0 1870484.8 15379136.0    0.0     48128.0 48045.9      4    0.474   0      0.000    0.474
961152.0 961152.0 195039.1  0.0   5767232.0 5686835.4 15379136.0    0.0     48128.0 48050.7      4    0.474   0      0.000    0.474
290944.0 961152.0  0.0   261257.1 5767232.0 3557295.8 15379136.0    0.0     48128.0 48053.3      5    0.706   0      0.000    0.706
290944.0 356160.0 290927.1  0.0   6977216.0 1425387.8 15379136.0  18208.0   48128.0 48053.5      6    1.074   0      0.000    1.074
290944.0 356160.0 290927.1  0.0   6977216.0 5425911.1 15379136.0  18208.0   48128.0 48058.7      6    1.074   0      0.000    1.074
381376.0 278976.0  0.0   278944.2 6977216.0 1983889.2 15379136.0  88790.3   48128.0 48060.0      7    1.476   0      0.000    1.476
381376.0 278976.0  0.0   278944.2 6977216.0 5742465.1 15379136.0  88790.3   48128.0 48060.9      7    1.476   0      0.000    1.476
381376.0 404032.0 296864.2  0.0   6881472.0 2477989.5 15379136.0  170606.3  48128.0 48069.1      8    1.750   0      0.000    1.750
381376.0 404032.0 296864.2 235469.9 6881472.0 6881472.0 15379136.0  234638.3  48320.0 48167.1      9    1.750   0      0.000    1.750
406336.0 405312.0 104289.5  0.0   6877888.0 731254.6 15379136.0  467950.5  48320.0 48195.6     10    2.271   0      0.000    2.271
412480.0 39168.0  0.0   39144.9 6877888.0 3579589.3 15379136.0  566729.2  48320.0 48197.2     11    2.437   0      0.000    2.437
423424.0 192.0   0.0   192.0  6848960.0 503629.1 15379136.0  627817.8  48320.0 48198.0     13    2.488   0      0.000    2.488
423424.0 421696.0 288.0   0.0   6844416.0 4478968.5 15379136.0  627857.8  48320.0 48246.6     14    2.491   0      0.000    2.491
415616.0 406144.0 5312.0  0.0   6867776.0 1536927.2 15379136.0  630207.6  48320.0 48252.0     16    2.508   0      0.000    2.508
393216.0 406144.0  0.0   12864.2 6867776.0 4917148.6 15379136.0  634351.6  48320.0 48283.9     17    2.528   0      0.000    2.528
393216.0 376576.0 26944.3  0.0   6919744.0 3046883.0 15379136.0  643733.4  48320.0 48287.5     18    2.565   0      0.000    2.565
393216.0 376576.0 26944.3  0.0   6919744.0 6818686.8 15379136.0  643733.4  48320.0 48287.7     18    2.565   0      0.000    2.565
353408.0 376576.0  0.0   63008.1 6919744.0 3543974.3 15379136.0  666141.6  48320.0 48288.4     19    2.645   0      0.000    2.645
353408.0 328832.0 80352.1  0.0   7007296.0 307292.3 15379136.0  718877.6  48320.0 48288.4     20    2.778   0      0.000    2.778
353408.0 328832.0 80352.1  0.0   7007296.0 4034335.0 15379136.0  718877.6  48320.0 48290.1     20    2.778   0      0.000    2.778
306240.0 328832.0  0.0   81435.5 7007296.0 1998290.0 15379136.0  791077.6  48320.0 48290.1     21    2.920   0      0.000    2.920
306240.0 287296.0 71896.1  0.0   7096000.0   0.0    15379136.0  872489.1  48320.0 48290.5     22    3.062   0      0.000    3.062
274176.0 287296.0  0.0   46216.5 7096000.0 1685279.0 15379136.0  938701.2  48320.0 48291.6     23    3.166   0      0.000    3.166
274176.0 267584.0 9260.5  0.0   7147776.0 4416497.2 15379136.0  990383.5  48320.0 48292.1     24    3.225   0      0.000    3.225
261184.0 267584.0  0.0   192.0  7147776.0 6919028.9 15379136.0 1005144.5  48320.0 48293.5     25    3.257   0      0.000    3.257
261184.0 253376.0 160.0   0.0   7174976.0 3013953.6 15379136.0 1005200.5  48320.0 48297.5     26    3.269   0      0.000    3.269
261184.0 253376.0 160.0   0.0   7174976.0 3014605.0 15379136.0 1005200.5  48320.0 48299.6     26    3.269   0      0.000    3.269
261184.0 253376.0 160.0   0.0   7174976.0 3014616.5 15379136.0 1005200.5  48320.0 48300.8     26    3.269   0      0.000    3.269
261184.0 253376.0 160.0   0.0   7174976.0 3014628.0 15379136.0 1005200.5  48320.0 48301.4     26    3.269   0      0.000    3.269
261184.0 253376.0 160.0   0.0   7174976.0 3023732.8 15379136.0 1005200.5  48320.0 48301.5     26    3.269   0      0.000    3.269
261184.0 253376.0 160.0   0.0   7174976.0 3023744.2 15379136.0 1005200.5  48320.0 48301.8     26    3.269   0      0.000    3.269
261184.0 253376.0 160.0   0.0   7174976.0 3023755.8 15379136.0 1005200.5  48320.0 48302.2     26    3.269   0      0.000    3.269
261184.0 253376.0 160.0   0.0   7174976.0 6992896.4 15379136.0 1005200.5  49280.0 49108.9     26    3.269   0      0.000    3.269
263424.0 251136.0  0.0   251124.2 7174976.0 4068065.3 15379136.0 1087176.6  49280.0 49124.3     27    3.331   0      0.000    3.331
263424.0 344768.0 249736.1  0.0   7000000.0 903529.1 15379136.0 1252242.5  49280.0 49208.1     28    3.412   0      0.000    3.412
322688.0 344768.0  0.0   81370.8 7000000.0 2175588.5 15379136.0 1342991.5  49280.0 49215.3     29    3.450   0      0.000    3.450
322688.0 316160.0 256.0   0.0   7050688.0 4389104.3 15379136.0 1424166.3  49280.0 49216.8     30    3.473   0      0.000    3.473
293568.0 316160.0  0.0   83771.2 7050688.0 4003191.0 15379136.0 1424226.3  49280.0 49220.1     31    3.491   0      0.000    3.491
293568.0 283904.0 20366.8  0.0   7112064.0 3777868.1 15379136.0 1507803.2  49280.0 49221.5     32    3.517   0      0.000    3.517
270528.0 283904.0  0.0   98460.4 7112064.0 3899365.8 15379136.0 1527990.1  49280.0 49227.3     33    3.542   0      0.000    3.542
270528.0 286912.0 176610.0  0.0   7115712.0 3278179.7 15379136.0 1609918.5  49280.0 49228.0     34    3.592   0      0.000    3.592
282688.0 286912.0  0.0   320.0  7115712.0 3154598.1 15379136.0 1708310.0  49280.0 49228.0     35    3.619   0      0.000    3.619
282688.0 276416.0 288.0   0.0   7130432.0 2845362.4 15379136.0 1708358.0  49280.0 49232.3     36    3.632   0      0.000    3.632
