procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3      0 31314652   2284 111280    0    0   216   104   67   66  3  0 96  1  0
 0  1      0 31248508   2596 127892    0    0  7898   112 1559 1301  6  0 87  6  0
 1  1      0 31154360   2628 145492    0    0  8880     0 2218 2201  9  0 88  3  0
 0  1      0 30946088   2688 159508    0    0  6858    58 2815 4136 11  1 85  4  0
 3 11      0 29301124   2868 225652    0    0 32838     0 4923 5891 39  3 46 12  0
 2 11      0 25622532   3004 352508    0    0 63564     0 2245 2123 28  7 46 19  0
 5 12      0 25195468   3128 488780    0    0 68214     8 1840 1731 23  1 56 19  0
 3 13      0 24778580   3260 633664    0    0 72152     0 2014 1768 30  1 43 25  0
 5 12      0 24448980   3392 775116    0    0 70596     0 2041 1699 32  1 49 18  0
 5 13      0 24167772   3544 910020    0    0 67448   330 2092 1917 33  1 48 18  0
10  9      0 23857220   3672 1046768    0    0 68264     0 1874 1891 25  1 44 30  0
 2 12      0 23525612   3808 1183780    0    0 68524     0 2001 1835 33  1 43 23  0
 2 11      0 22375372   3932 1314220    0    0 64974     0 2461 2037 36  3 29 32  0
 3 12      0 22224356   4068 1456132    0    0 70884     0 1808 1892 25  1 38 37  0
 5  8      0 21887060   4192 1587444    0    0 65830     0 2778 2225 45  2 29 24  0
11  4      0 21663604   4328 1712824    0    0 62254     2 3609 2815 67  3 19 11  0
10  0      0 21266184   4380 1776664    0    0 32002    42 5444 4322 80  4 16  0  0
11  0      0 21193528   4396 1786920    0    0  4996    40 3593 3166 79  5 16  0  0
11  0      0 21176332   4420 1791028    0    0  2062     2 3506 3162 79  5 15  0  0
13  0      0 21117548   4444 1812648    0    0 10846     0 3655 3468 92  6  2  0  0
13  0      0 21038576   4544 1880788    0    0 34484     0 4384 3498 92  6  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  8      0 20905996   4704 2005092    0    0 61826     6 4171 3531 87  5  5  3  0
11  7      0 20715976   4872 2143968    0    0 69336     0 3452 3179 54  2 24 20  0
12 11      0 20562820   5036 2290472    0    0 72712     8 2659 2593 38  1 37 24  0
 2 10      0 20390600   5188 2431600    0    0 70580   104 2928 1887 29  1 45 25  0
 5 11      0 20194184   5320 2568076    0    0 68242     0 3295 2422 34  1 41 23  0
 5  9      0 19997280   5456 2698972    0    0 65630    58 2457 2250 37  1 41 21  0
 3 10      0 19787828   5600 2837772    0    0 68940     0 2624 2300 41  1 24 34  0
11  8      0 19642012   5728 2979712    0    0 71080     0 2147 2157 31  1 43 25  0
 4  9      0 19470024   5852 3105732    0    0 62886     0 2755 2312 54  2 30 14  0
10  4      0 19223776   5980 3240088    0    0 67160     0 3036 2647 53  2 30 14  0
12  0      0 19018572   6076 3338112    0    0 48792    14 4107 2913 85  5  9  0  0
11  0      0 18880244   6144 3410784    0    0 36254    48 3918 3068 84  5 10  0  0
