 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 7372.1      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 346034.2 15379136.0    0.0     21248.0 16380.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5537317.7 15379136.0    0.0     35264.0 35060.4      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   49400.6 5767232.0 1391526.2 15379136.0    0.0     47936.0 47850.8      1    0.042   0      0.000    0.042
961152.0 961152.0  0.0   49400.6 5767232.0 4156415.2 15379136.0    0.0     48128.0 48098.9      1    0.042   0      0.000    0.042
961152.0 961152.0 183616.3  0.0   5767232.0 2828404.9 15379136.0    0.0     48320.0 48141.1      2    0.116   0      0.000    0.116
961152.0 961152.0  0.0   232335.2 5767232.0 1144804.5 15379136.0    0.0     48320.0 48142.4      3    0.212   0      0.000    0.212
961152.0 961152.0  0.0   232335.2 5767232.0 4849413.7 15379136.0    0.0     48320.0 48173.9      3    0.212   0      0.000    0.212
436288.0 501056.0 394745.2  0.0   6687424.0 2172123.7 15379136.0    0.0     48320.0 48179.5      6    0.793   0      0.000    0.793
436288.0 501056.0 394745.2 56960.1 6687424.0 6687424.0 15379136.0  61489.9   48320.0 48182.7      7    0.793   0      0.000    0.793
487296.0 501056.0  0.0   289824.2 6687424.0 4771006.8 15379136.0  166836.7  48320.0 48262.2      7    1.066   0      0.000    1.066
487296.0 473856.0 285984.2  0.0   6728384.0 2383801.2 15379136.0  255320.7  48320.0 48265.8      8    1.339   0      0.000    1.339
451264.0 473856.0  0.0   259502.9 6728384.0 1282574.6 15379136.0  346504.7  48512.0 48362.3      9    1.623   0      0.000    1.623
451264.0 451456.0 140908.2  0.0   6786624.0 2657937.1 15379136.0  533512.9  48512.0 48394.8     10    1.860   0      0.000    1.860
468032.0 26176.0  0.0   26154.5 6786624.0 4995321.8 15379136.0  674328.9  48512.0 48395.6     11    1.994   0      0.000    1.994
485760.0 320.0   0.0   320.0  6731200.0 660531.6 15379136.0  730628.9  48512.0 48399.4     13    2.103   0      0.000    2.103
485760.0 484416.0 11264.5  0.0   6719360.0 3810974.1 15379136.0  730700.9  48512.0 48399.6     14    2.129   0      0.000    2.129
480448.0 471680.0 4896.1  0.0   6737408.0   0.0    15379136.0  741781.4  48512.0 48450.5     16    2.169   0      0.000    2.169
459584.0 471680.0  0.0   6560.0 6737408.0 3091886.2 15379136.0  745491.2  48512.0 48459.8     17    2.193   0      0.000    2.193
459584.0 442880.0 20800.5  0.0   6787072.0 2972001.4 15379136.0  751867.2  48512.0 48507.3     18    2.239   0      0.000    2.239
421248.0 442880.0  0.0   43296.2 6787072.0 1186245.2 15379136.0  771502.2  48512.0 48511.7     19    2.306   0      0.000    2.306
368384.0 395584.0  0.0   87584.2 6872704.0 1875523.7 15379136.0  865294.4  48704.0 48519.8     21    2.543   0      0.000    2.543
368384.0 395584.0  0.0   87584.2 6872704.0 5955921.2 15379136.0  865294.4  48704.0 48522.4     21    2.543   0      0.000    2.543
368384.0 347264.0 65792.1  0.0   6973888.0 3986013.2 15379136.0  948692.2  48704.0 48523.8     22    2.670   0      0.000    2.670
327616.0 347264.0  0.0   64089.6 6973888.0 2106468.9 15379136.0 1013900.3  48704.0 48523.9     23    2.915   0      0.000    2.915
327616.0 305984.0 82432.1  0.0   7055936.0 191974.7 15379136.0 1071377.1  48704.0 48524.2     24    3.110   0      0.000    3.110
290688.0 305984.0  0.0   56169.5 7055936.0 2737322.0 15379136.0 1153833.2  48704.0 48524.9     25    3.246   0      0.000    3.246
290688.0 276096.0 55006.5  0.0   7122752.0 3203973.9 15379136.0 1215555.7  48704.0 48526.4     26    3.477   0      0.000    3.477
264384.0 276096.0  0.0   41482.0 7122752.0 5060791.5 15379136.0 1264806.3  48704.0 48526.4     27    3.629   0      0.000    3.629
264384.0 253760.0 35441.6  0.0   7171392.0 7002856.6 15379136.0 1306184.3  48704.0 48527.0     28    3.798   0      0.000    3.798
242560.0 236224.0 9696.0  0.0   7210752.0 1793815.8 15379136.0 1378671.3  48704.0 48527.3     30    3.950   0      0.000    3.950
226560.0 236224.0  0.0   22508.3 7210752.0 3594054.8 15379136.0 1388239.3  48704.0 48529.0     31    4.000   0      0.000    4.000
226560.0 220544.0 224.0   0.0   7242432.0 3873040.5 15379136.0 1410555.6  48704.0 48530.9     32    4.036   0      0.000    4.036
213440.0 220544.0  0.0   256.0  7242432.0 678023.1 15379136.0 1410611.6  48704.0 48534.1     33    4.053   0      0.000    4.053
213440.0 220544.0  0.0   256.0  7242432.0 2538266.7 15379136.0 1410611.6  48704.0 48536.0     33    4.053   0      0.000    4.053
213440.0 220544.0  0.0   256.0  7242432.0 4515241.5 15379136.0 1410611.6  49280.0 49149.2     33    4.053   0      0.000    4.053
213440.0 228480.0 134818.0  0.0   7232576.0 5269092.5 15379136.0 1410675.6  49280.0 49174.4     34    4.087   0      0.000    4.087
240192.0 216768.0  0.0   216740.2 7232576.0 3501571.0 15379136.0 1560606.9  49280.0 49252.6     35    4.157   0      0.000    4.157
240192.0 252800.0 60627.2  0.0   7183936.0 2053706.8 15379136.0 1874175.0  49280.0 49253.9     36    4.231   0      0.000    4.231
247168.0 252800.0  0.0   288.0  7183936.0 2042175.9 15379136.0 1954816.8  49280.0 49254.5     37    4.258   0      0.000    4.258
247168.0 238464.0 10016.0  0.0   7203904.0 3971553.8 15379136.0 1954848.8  49280.0 49256.5     38    4.275   0      0.000    4.275
242048.0 238464.0  0.0   117999.2 7203904.0 4839525.5 15379136.0 1954904.8  49280.0 49257.0     39    4.305   0      0.000    4.305
242048.0 224896.0 63361.1  0.0   7222592.0 5458160.0 15379136.0 2016726.2  49280.0 49266.1     40    4.338   0      0.000    4.338
210240.0 224896.0  0.0   57981.8 7222592.0 5918583.3 15379136.0 2079837.0  49280.0 49268.0     41    4.373   0      0.000    4.373
