procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  3 9664800 17158832   4196  50248    0    0    20    11    0    0  1  0 99  0  0	
 0  1 9664748 17099140   5552  59044   16    0  4894    60 2515 2531  5  0 89  5  0	
 1  0 9664732 17004740   5552  69604    0    0  5266     0 2867 3332  6  0 89  4  0	
 3  0 9664624 16758656   5588  79812   32    0  5088     0 4387 6076  9  1 87  3  0	
17  0 9664576 16514528   5916  96096   52    0  8444    46 5874 7165 16  1 75  8  0	
 3 11 9664564 13166004   5916 196152   16    0 49910    76 7754 4391 45  4 33 18  0	
 3 11 9664512 11231124   5916 302068    0    0 52736     0 5067 3907 20  4 65 11  0	
 9 12 9664492 10835164   5932 414272    2    0 56258    28 4674 3871 19  1 72  8  0	
 6 12 9664420 10650028   5932 521612   48    0 53680    76 5251 3944 22  3 58 17  0	
 5 12 9664388 10353388   5940 633280   16    0 55824     8 5602 4016 23  5 58 14  0	
 4 11 9664376 10233292   5940 749696    0    0 58176     0 4908 3922 21  1 62 16  0	
 3 12 9664328 9996028   6088 861228   16    0 55768     0 5801 4055 25  5 59 11  0	
 4 11 9664316 9566808   6096 977020    0    0 58176    14 6683 4139 27 10 53 10  0	
 3 11 9664244 9445040   6096 1098416   32    0 60640     0 4778 3925 20  1 61 19  0	
 2 11 9664216 8311992   6096 1209512   32    0 55520     0 6741 4151 27 11 46 16  0	
 4 12 9664200 8189728   6232 1329968    0    0 60418    38 4835 3905 20  1 64 15  0	
 2 12 9664156 7818092   7040 1445244    0    0 58094     0 6246 4186 29  3 46 21  0	
10  9 9664140 7691212   7192 1565716   16    0 60360     0 5732 4399 27  1 61 12  0	
11  1 9664068 7270352   7200 1664780    0    0 49100    56 9579 5721 51  8 33  8  0	
12  0 9664040 7145992   7208 1677152   18    0  6286    10 18493 8931 80  4 16  1  0	
12  0 9664024 7087448   7224 1677724    2    0   326   228 13012 6347 96  3  1  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0 9663980 7072844   7224 1680312   16    0  1368     0 13010 6674 96  3  1  0  0	
 1  0 9663968 7042700   7224 1706288   16    0 12944     4 13070 6737 96  3  1  0  0	
 7  7 9663896 6968164   7240 1777276   16    0 35920    36 13322 7247 84  3  6  7  0	
 2  7 9663856 6852376   7240 1880088   16    0 51344     0 6117 4650 28  1 55 15  0	
 2  6 9663848 6743636   7248 1991032    0    0 55488    56 4718 3875 18  1 70 11  0	
 2  7 9663796 6612028   7256 2099912   18    0 54290    10 4820 3866 20  1 68 11  0	
10  3 9663784 6467116   7256 2208308   16    0 53970     0 6182 3805 19  1 66 14  0	
 2  5 9663716 6340308   7264 2315876   32    0 54112    18 4886 3951 20  2 63 14  0	
 3  5 9663688 6164112   7272 2418500    0    0 51392     8 8099 4290 27  2 62  9  0	
11  4 9663672 6051088   7272 2525608    0    0 53192    16 5696 4278 25  1 66  7  0	
 7  0 9663628 5836368   7280 2599316   16    0 36884    24 13842 6314 49  4 40  7  0	
 7  0 9663608 5776248   7288 2606332    0    0  3392     6 8594 5410 51  2 46  0  0	
 6  0 9663536 5763052   7300 2606964   32    0   354    38 8073 5430 48  2 50  0  0	
 1  0 9663504 5761852   7300 2608380   16    0   720     0 4229 3311 20  1 79  0  0	
 1  1 9663492 5761488   7324 2608360    0    0    10    44 1159 1826  0  0 99  0  0	
 1  0 9663448 5761760   7348 2608356   32    0    32    60 1107 1766  0  0 99  0  0	
 1  0 9663432 5761676   7348 2608392    0    0     0     0 1072 1739  0  0 100  0  0	
 1  0 9663364 5761800   7348 2608392   48    0    48     0 1067 1793  0  0 100  0  0	
 1  0 9663320 5761792   7356 2608520   32    0    96    18 1141 1798  0  0 99  0  0	
 2  0 9663312 5762040   7356 2608520    0    0     0     8 1030 1767  0  0 100  0  0	
12  0 9663260 5543292   7364 2612508   32    0  1986     0 8076 5349 41  1 58  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0 9663248 5287376   7372 2612512    0    0     0    36 16491 5215 92  4  4  0  0	
14  0 9663180 5026552   7372 2615536   32    0  1888    70 21985 6869 87  7  6  0  0	
 9  3 9663152 4838204   7388 2681732   16    0 32784    26 16996 7238 72  4 22  2  0	
 8  4 9663140 4643432   7388 2760764    0    0 39936    20 12527 7156 66  3 24  7  0	
 4  5 9663092 4552664   7388 2851432   16    0 45072     0 9619 6786 39  2 46 14  0	
 8  7 9663076 4351124   7396 2946640    2    0 47682    24 12094 8750 40  2 46 12  0	
 6  8 9663008 4202404   7396 3047716   36    0 50468    12 9759 6100 44  2 42 13  0	
 8  9 9662976 3994520   7396 3150080   16    0 51600     0 13133 6000 57  3 30 10  0	
 5  9 9662964 3792816   7404 3255984   16    0 52816   100 12437 5384 47  2 41 10  0	
 3 10 9662912 3678760   7412 3369120   32    0 56614     6 7789 5059 37  1 48 13  0	
 2  7 9662900 3563928   7412 3482796   16    0 56466     0 5156 4035 22  1 64 13  0	
 3  5 9662832 3451708   7420 3593108   32    0 55264    22 5185 4035 22  1 70  8  0	
 3  5 9662796 3343604   7420 3699968   16    0 53522     0 4843 3835 21  1 65 14  0	
 2  4 9662780 3239228   7428 3804852   32    0 52260    28 4898 3947 20  1 70  9  0	
 2  1 9662732 3150296   7428 3892588   48    0 44020     0 4414 3531 17  1 76  6  0	
 1  0 9662720 3116476   7428 3926412    0    0 16834     0 2667 2618  7  0 90  3  0	
 1  0 9662648 3118236   7436 3926444   16    0    16    20 1156 1836  0  0 99  0  0	
 0  0 9662620 3118268   7436 3926416   16    0    16     0 1052 1753  0  0 100  0  0	
 1  0 9662608 3113456   7436 3926412   16    0    16    40 1100 1786  1  0 99  0  0	
 1  0 9662560 3113332   7444 3926412   32    0    32    24  994 1747  0  0 99  0  0	
 1  0 9662548 3113604   7444 3926416   16    0    16     0 1065 1813  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 9662476 3112860   7716 3926720   32    0   274    42 1295 1940  0  0 98  1  0	
 1  0 9662444 3112496   7716 3926620   32    0    32     0 1057 1802  0  0 100  0  0	
 3  0 9662432 3112372   7716 3926652    0    0     0    10 1229 1839  0  0 99  0  0	
 1  0 9662384 3112488   7724 3926648   16    0    16    38 1054 1799  0  0 99  0  0	
13  0 9662368 3112456   7736 3927052   16    0   396     0 2411 3567  4  0 95  0  0	
12  0 9662304 3091400   7736 3927492   48    0    48     0 21754 12408 80  4 16  0  0	
11  0 9662268 3038812   7744 3927532   16    0    16    36 26193 13176 75  7 18  0  0	
 9  0 9662256 2970416   7744 3927556    0    0     0     0 22086 10026 73  5 22  0  0	
11  0 9662200 2898848   7744 3927556   32    0    32     0 19672 8842 83  4 13  0  0	
12  0 9662188 2730724   7752 3927528   16    0    16    16 17854 7508 83  4 13  0  0	
13  0 9662120 2629752   7752 3933372   48    0  2928     2 14447 6999 93  3  5  0  0	
12  1 9662088 2547036   7760 3943712   14    0  5198    24 13157 6071 95  3  2  0  0	
12  0 9662072 2476668   7760 3953500    4    0  4996    22 12907 5949 95  3  2  0  0	
13  0 9662024 2398800   7760 3964248   16    0  5264     0 12936 6101 96  3  2  0  0	
11  0 9662008 2349532   7772 3975328    0    0  5568    28 13134 6216 93  2  5  0  0	
 9  0 9661940 2305412   7792 3988492   48    0  6768    40 13004 6621 82  2 16  0  0	
10  0 9661908 2168296   7792 4004688   16    0  7888     0 14103 8402 67  3 30  0  0	
11  0 9661896 2092204   7800 4019244    2    0  7426   158 16125 10660 68  3 29  0  0	
12  0 9661852 1972740   7800 4032612    0    0  6656     0 15643 9415 77  3 20  0  0	
13  0 9661832 1889040   7820 4053260   32    0 10592    42 14121 6913 90  2  7  0  0	
12  0 9661768 1748240   7824 4072884   16    0  9618     0 18261 6128 93  3  3  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0 9661728 1651320   7832 4091788   16    0  9360     0 15953 5907 92  3  5  0  0	
 9  0 9661716 1549696   7840 4108312   16    0  8336    38 14672 5816 75  3 22  0  0	
10  0 9661668 1506544   7840 4121880   32    0  6816     0 12145 5809 73  2 25  0  0	
 9  0 9661656 1434304   7840 4134224   16    0  6224     0 11382 5754 73  2 24  0  0	
10  0 9661584 1374820   7856 4148400   16    0  7120    32 10378 5692 62  2 36  0  0	
 7  0 9661552 1292228   7856 4165556   16    0  8528     0 9921 5249 60  2 38  0  0	
 7  0 9661540 1206680   7856 4184844    0    0  9730    10 9167 5445 55  2 43  0  0	
 1  0 9661496 1201240   7884 4190364   32    0  2658    36 5009 3643 24  1 75  0  0	
 1  0 9661480 1201348   7884 4190376    0    0     0     0 1041 1760  0  0 100  0  0	
 1  0 9661412 1201404   7892 4190372   16    0    16    42 1232 1838  0  0 99  0  0	
 1  0 9661380 1203080   7892 4190384   16    0    16     0 1138 1794  0  0 100  0  0	
 1  0 9661368 1202756   7892 4190384    0    0     0   102 1155 1793  0  0 100  0  0	
 1  0 9661316 1203384   7904 4190384   16    0    16    66 1024 1740  0  0 99  0  0	
 0  0 9661300 1203888   7904 4190392    2    0     2     0  988 1736  0  0 100  0  0	
 8  0 9661236 1156724   7916 4190464   32    0    40     4 8792 5546 36  2 62  0  0	
 7  0 9661204 1073080   7924 4190444   32    0    32    36 26399 10881 58  5 37  0  0	
 1  0 9661192 870520   7924 4190488    0    0     0     0 16684 10507 54  3 43  0  0	
 7  0 9661148 824708   7924 4190484   32    0    32     0 13953 9434 58  2 40  0  0	
 7  0 9661132 661256   7932 4190504    0    0     0    20 12723 8721 50  2 47  0  0	
10  0 9661056 657952   7932 4190480   32    0    32     0 15815 9401 68  3 30  0  0	
12  0 9661028 628532   7932 4190524   48    0    48     0 18716 13293 64  3 33  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0 9661012 574160   7940 4190528    0    0     0    38 16110 8413 91  3  6  0  0	
12  0 9660968 431148   7940 4190540    0    0     0     0 18880 5898 92  3  5  0  0	
12  0 9660948 403992   7948 4190508   32    0    32    26 15034 5773 94  2  3  0  0	
10  0 9660880 355404   7948 4190548   32    0    32     0 13142 5833 77  2 21  0  0	
 6  0 9660848 354164   7948 4190548   16    0    16     0 10538 5255 58  2 41  0  0	
 1  0 9660836 354932   7956 4190520   16    0    16    96 5769 3209 20  1 79  0  0	
 0  0 9660788 355552   7956 4190552    0    0     0     0 3489 2116  6  0 93  0  0	
 0  0 9660772 355600   7956 4190528   16    0    16     0 3956 1848  0  0 99  0  0	
 0  0 9660708 357964   7964 4190556   32    0    32    86 2222 1788  0  0 99  0  0	
 1  0 9660676 358088   7964 4190552   16    0    16     0 1024 1751  0  0 100  0  0	
 1  0 9660664 358128   7972 4190516   32    0    32    16 1017 1806  0  0 99  0  0	
 8  0 9660612 358004   7984 4190548   32    0    32     0 2145 3018  3  0 96  0  0	
 9  0 9660604 348140   7984 4190644   16    0    16     0 20617 8859 55  3 42  0  0	
 2  0 9660532 251544   5556 4139884   16    0    48    40 21664 13146 40  3 56  0  0	
11  0 9660500 602940   4336 3737148    0    0  3310     4 42553 8813 55  6 39  1  0	
10  0 9660480 521016   4328 3741240   16    0 12392    16 27329 8145 82  6  9  2  0	
12  2 9660432 1352416   2648 2844508   32    0 27150    28 38250 8623 65 12 18  5  0	
11  3 9660416 1509956   2304 2488660    0    0 28380     0 29324 6113 78 11  8  4  0	
12  1 9660356 1660548   2292 2230908   32    0 38856    36 18385 5865 86  4  9  1  0	
 6  1 9660316 1630412   2268 2110352    0    0 32130     0 12069 5882 79  4 15  2  0	
10  0 9660308 1531740   2208 2151704   16    0 36818    68 11061 5589 70  2 24  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0 9660256 1496944   2204 2090844   64    0 33968    66 15959 7368 81  4 10  4  0	
10  1 9660244 1364048   2212 2203052    0    0 27498     0 10461 5058 62  2 33  3  0	
 8  2 9660172 1264900   2224 2217396   16    0 20040    74 22068 4591 57  6 33  4  0	
10  0 9660140 1186712   2224 2264884   32    0 38292     6 20810 5216 53  4 31 12  0	
 6  5 9660316 1146908   2248 2200100    0   92 36062   164 8301 4427 38  3 48 10  0	
 8  3 9664356 1130248   2196 2023788   32 2044 17846  2094 10216 3734 36 11 48  4  0	
 4  3 9664344 1042720   2200 2108164    0    0 42594     0 6751 4461 36  1 53 10  0	
 2  4 9670404 1044624   2184 2008656   48 3066 31740  3068 6037 3610 26  4 58 12  0	
20  0 9670376 929424   2196 2092784   16    0 41596    38 6761 4132 29  1 55 15  0	
 3  1 9670356 891492   2176 2040988    0    0 25514    24 8303 3575 25 11 55  9  0	
15  0 9670312 802380   3768 2114772   32    0 35764    42 5494 4022 26  1 64 10  0	
 3  0 9672320 1003656   4636 1804872   32 1022 15740  1022 30646 3550 17 13 63  8  0	
 1  0 9672272 969796   4636 1837144   32    0 16374     0 3770 3033 15  1 84  1  0	
 0  0 9672240 968496   4652 1837656   16    0    16    38 1024 1735  0  0 99  0  0	
 1  0 9672224 967504   4672 1837660   16    0    26 24966 1096 1753  0  0 100  0  0	
 1  0 9672180 967032   4672 1837692   16    0    16     0  990 1694  0  0 100  0  0	
 1  0 9672144 966032   4680 1837652   32    0    32    32 1000 1724  0  0 99  0  0	
 1  0 9672104 966436   4688 1837704   16    0    20 75310 1137 1785  0  0 97  3  0	
 1  0 9672068 966048   4688 1837708   16    0    16     0  992 1722  0  0 100  0  0	
 1  0 9672060 1198124   4696 1611388   16    0   210 12898 1179 1817  0  0 99  0  0	
 8  8 9674048 1329016   4652 1409788   32 1022 30978  1024 38962 6635 21 11 52 16  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  8 9674012 1210312   4652 1477236   32    0 40004     0 11948 8601 20  2 58 20  0	
 9  7 9676012 1361704   4580 1246864   16 1022 34202  1154 33255 5399 26 14 48 12  0	
 3  8 9675980 1293716   4580 1341176   32    0 47890     0 6688 5393 24  1 60 15  0	
10  0 9675968 1206640   4476 1266876   16    0 28214    38 38609 6183 19 20 47 15  0	
 3  0 9675916 1203704   4380 1190176   32    0 32404     0 35461 3948 18 18 45 20  0	
 1 11 9675880 1242652   4268 1267268    0    0 50018     0 10572 4571 33  2 48 17  0	
 3 11 9675832 1120592   4264 1282380   16    0 45422    24 6045 4032 27  3 53 18  0	
11 10 9675800 1008020   4264 1385044   48    0 51622     0 4998 3950 22  1 57 20  0	
 4 11 9675784 1086896   3916 1176184    0    0 12534    62 15878 3390 12 24 52 11  0	
 2 11 9675740 978408   3932 1283312   16    0 53490    62 6005 4039 25  1 61 13  0	
 4 12 9675704 1018116   3672 1174708   16    0 47072     2 26853 4144 33 10 43 14  0	
 6  9 9675660 915328   3680 1274952   32    0 50364    28 14034 4619 42  1 41 16  0	
 4 11 9675628 907920   3672 1233512   16    0 40570     0 24145 5376 48  9 30 12  0	
 5 10 9675616 807592   3680 1285096    0    0 51150     2 12190 5805 30  2 55 13  0	
 2 15 9675564 787576   3748 1244632   64    0 37316    22 20294 4223 29 12 39 19  0	
 0 10 9675532 690196   3660 1317260   32    0 50260     0 11241 4147 29  2 50 19  0	
 3 12 9675484 782704   3532 1216252   32    0 44244     4 37311 4054 29  5 51 15  0	
 2 11 9675452 671872   3540 1326156   16    0 54736    30 5052 3995 19  1 67 13  0	
 3 11 9675440 571324   3540 1428284    0    0 50762    84 5266 3910 20  1 59 20  0	
 1  9 9675396 476488   3548 1501812   16    0 39572    30 5330 3993 20  1 62 17  0	
 4 11 9675356 388236   3548 1588236    0    0 43118     0 5346 4174 21  1 57 21  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 11 9675304 297956   3548 1676792   32    0 44672     0 5655 4172 23  1 57 20  0	
 5  5 9675272 232988   3556 1741964   16    0 32266    22 7379 4864 35  1 52 12  0	
 0  3 9675252 229284   3556 1744624   16    0 32270    12 5597 3770 16  1 71 13  0	
 1  3 9675212 229020   3548 1744120    0    0 35032     0 4262 3164  5  0 83 13  0	
 1  0 9675176 231332   3556 1742164   16    0 25036    36 4624 3080  6  0 86  7  0	
 1  0 9675132 231696   3556 1742296   16    0  4368     0 1593 2006  0  0 99  0  0	
 1  0 9675096 231828   3556 1742264   32    0    32     0 1093 1799  0  0 100  0  0	
 0  0 9675088 231892   3564 1742292   16    0    16    24 1085 1830  0  0 99  0  0	
 0  0 9675036 231528   3564 1742296   16    0    16     0 1050 1798  0  0 100  0  0	
 6  0 9675004 228420   3572 1746200   16    0  2486     0 2364 3114  4  0 92  3  0	
 5  0 9674952 430356   3324 1446704   32    0  1726    38 16093 5767 41 12 46  0  0	
10  0 9674924 554564   3312 1320864    0    0  5962     0 33502 10125 44 12 43  1  0	
 5  6 9674908 653092   3256 1146940    0    0 25492    24 29528 7799 32 14 42 12  0	
11  1 9674864 593408   3220 1130700   48    0 32580     0 15745 9385 29  7 56  8  0	
 4  7 9674832 580532   3176 994400   16    0 37822     0 70431 10538 28  6 53 14  0	
11  0 9674772 726908   3140 740008   16    0 30710    74 60138 5654 24 17 48 11  0	
 4 12 9674744 717428   3140 760300   16    0 48422     0 41691 5490 35  3 52 10  0	
10  0 9674724 599352   3148 670616   32    0 39468    76 50616 3883 27 10 46 17  0	
 5 12 9674684 488904   3152 765444    0    0 50984     0 13979 4788 46  1 39 13  0	
 7 10 9674644 507816   3140 668400   32    0 39168     0 32859 4304 31 10 43 17  0	
 4 11 9674604 426896   3148 761468   16    0 53692    44 9230 4883 28  1 53 18  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  9 9674568 376372   3148 747148   16    0 42000     0 18182 3706 31  9 50 10  0	
 4 11 9674560 271332   3148 849948    0    0 51840     2 6189 3885 25  1 60 14  0	
11  0 9674508 355732   3140 668128   32    0 38664    16 19201 3946 27  6 53 13  0	
 4 12 9674476 315364   3212 723584   16    0 53760     0 8200 5945 29  1 53 17  0	
 6  8 9674424 264640   3212 714320   32    0 42264    32 6863 3598 25  5 57 13  0	
 4  9 9674396 231096   3216 736376   16    0 47824     0 10864 4077 30  2 53 15  0	
26  0 9674380 230740   3788 654280    0    0 51786    22 7128 4106 28  2 61  9  0	
 6  6 9674332 231476   3684 638216   16    0 36568   100 7654 3466 25  8 57 10  0	
 3  6 9674300 233088   3680 634568   32    0 50400     0 5036 3828 23  1 65 12  0	
 2  4 9674252 268516   3680 520720    0    0 19594     6 17364 2887 19 32 44  4  0	
 2  2 9674216 231104   3692 555656   16    0 41420    20 4569 3451 20  1 72  7  0	
 1  0 9674200 231616   3244 554820   16    0 26154   118 3635 2971 12  0 83  4  0	
 0  0 9674148 231888   3252 554276   16    0  1712    30 1413 1855  2  0 98  0  0	
 0  0 9674116 231764   3252 554288   16    0    16     0  972 1699  0  0 100  0  0	
 0  0 9674068 232324   3252 554276   32    0    32     0  986 1676  0  0 100  0  0	
 2  0 9674040 231820   3260 554664    0    0   192    14 1013 1703  0  0 99  0  0	
 1  0 9674024 231852   3260 555028    0    0   182     8  951 1703  0  0 100  0  0	
 0  0 9673980 231696   3260 555028   32    0    32     0  982 1694  0  0 100  0  0	
 1  0 9673940 231340   3268 555032   32    0    32    24  971 1678  0  0 99  0  0	
 2  0 9673896 232100   3268 555064    0    0     0     2  974 1725  0  0 100  0  0	
 2  0 9673864 231464   3268 555036   16    0    16     0  955 1715  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 9673852 231108   3280 555028   16    0    16 12782  998 1689  0  0 100  0  0	
 2  0 9673804 230960   3280 555036   32    0    32     0  951 1682  0  0 100  0  0	
 1  0 9673772 231860   3280 555032   16    0    16     0  990 1725  0  0 100  0  0	
 2  0 9673720 231596   3288 555064   16    0    16    36  993 1688  0  0 99  0  0	
 2  0 9673688 231340   3288 555420   16    0   208     0 1016 1732  0  0 100  0  0	
 2  0 9673668 230208   3288 555588    0    0    90     4 1196 1805  0  0 100  0  0	
10  0 9673624 349132   3292 358436   16    0 13356    80 37522 3991 22 25 46  8  0	
 7  7 9673588 248848   3292 320844   16    0 34060     0 74670 7774 36 13 41  9  0	
 5  7 9673544 228204   3300 370476   16    0 47450    92 22390 6928 25  2 57 17  0	
 2  8 9673596 246364   3248 257696   32   42 22114    42 55737 3584 19 40 34  7  0	
 3  9 9673588 227572   3248 268188    0    0 52822     4 11585 8758 20  1 66 13  0	
 4 11 9673700 219144   3260 262680    0   82 41756   108 13079 4888 26  9 56 10  0	
 5 13 9673904 252104   3260 230376   48  118 52392   118 6832 5182 20  1 63 16  0	
 0 18 9737324 200108   3252 127516   16 31736 36002 31916 12755 4513 15  2 49 34  0	
 2 12 9787504 220712   2468  91632   16 25106 38730 25198 8632 4352 31  1 43 25  0	
10  8 9787492 219028   2456  61076   16    0 51168     4 8701 3994 25  1 54 20  0	
 3 12 9787440 201040   2204  77104    0    0 49064     4 11743 4108 30  2 50 17  0	
 4 12 9790704 209032   1832  42868   32 1648 51854  1826 11664 4348 30  1 49 21  0	
 4 13 9791560 204852    884  53572   16  452 54086   502 10943 4087 24  1 53 22  0	
 3 12 9791528 203604    892  41604   16    0 50732    44 11342 4457 35  1 37 26  0	
 4 12 9791512 208700    816  42696    0    0 50368     2 5702 3846 19  1 59 21  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 10 9799020 230976    832  36036   16 3780 53722  3840 7087 4146 26  1 54 18  0	
 4 11 9798988 204192    736  61456   32    0 53716    36 5264 3906 23  1 61 15  0	
 3 10 9816552 199936    736  77252    0 8806 51368  8816 9079 4152 23  1 57 19  0	
 4  8 9816516 200452    736  77820   16    0 52190     0 7166 4126 23  1 49 27  0	
 3  9 9816508 201584    744  76936   16    0 53618    22 6698 3981 20  1 55 24  0	
 4  7 9816460 200924    744  78604    0    0 53734     0 6737 4166 24  1 53 22  0	
 4  5 9816432 200260    752  78144   16    0 53410    28 6765 3963 19  1 61 18  0	
