procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2 159756 30356428   4544  96804    0    1    31    10    1    0  0  0 99  0  0
 1  0 159756 30289308   4748 116916    0    0  9674     0 1252 1822  5  0 89  6  0
 0  0 159756 30280736   4836 122212    0    0  2664     0  756 1073  6  0 93  1  0
 0  0 159756 30279116   4860 124496    0    0  1032   134  467  769  0  0 99  1  0
 0  0 159756 30277016   4864 126556    0    0  1026     0  464  777  0  0 100  0  0
 1  0 159756 30275032   4864 128608    0    0  1024     8  510  795  0  0 100  0  0
 0  0 159756 30272800   4868 130648    0    0  1026     0  449  753  0  0 100  0  0
 0  0 159756 30270444   4868 132700    0    0  1024     0  444  753  0  0 100  0  0
 0  0 159756 30268708   4872 134748    0    0  1026     0  441  765  0  0 100  0  0
 1  0 159756 30234004   4916 145432    0    0  5596     0  907 1323  4  0 94  2  0
 1  1 159756 30102696   4944 160896    0    0  7830    38 2163 3987  9  1 87  3  0
 1 12 159756 29863568   5060 181276    0    0  9860     0 2134 5375 10  1 74 15  0
 5 10 159756 27059652   5200 278072    0    0 48618     0 3358 4431 42  6 24 29  0
 5 12 159756 24278688   5356 444752    0    0 83278     0 2279 3206 32  5 41 21  0
 5  9 159756 23882368   5504 601472    0    0 78422     0 1976 2868 31  1 42 27  0
 7 11 159756 23520164   5668 765288    0    0 81966    74 2079 2838 33  1 40 26  0
 3 12 159756 23212000   5832 911352    0    0 72716     0 2241 2980 32  1 36 31  0
 2  4 159756 22737072   5964 1067068    0    0 77810    40 2118 2913 32  1 35 32  0
 4 12 159756 22562720   6144 1238444    0    0 85666   192 2129 2872 32  1 35 32  0
 6 10 159756 21281188   6376 1465388    0    0 113392   130 3208 4270 31  2 40 27  0
 6  7 159756 20872708   6524 1622720    0    0 78338     0 3093 3844 47  1 27 24  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0 159756 20445048   6652 1760324    0    0 68672     0 4508 5022 69  2 20  8  0
11  0 159756 20213780   6684 1792720    0    0 16080     8 4338 6274 87  3 10  0  0
12  0 159756 20180828   6712 1801180    0    0  4196     0 4344 6913 94  3  3  0  0
12  0 159756 20093432   6800 1878316    0    0 38448     0 4244 6730 94  3  3  0  0
 7  0 159756 19910012   6992 2037728    0    0 79964    64 4831 6277 70  2 22  5  0
 4  4 159756 19693276   7176 2227052    0    0 94330     0 2891 3853 43  1 49  7  0
 5  0 159756 19500720   7316 2376160    0    0 74414    10 2765 3842 38  1 55  6  0
 4  0 159756 19342296   7408 2469088    0    0 46510     0 2691 3718 41  1 57  0  0
 5  0 159756 19270020   7408 2471596    0    0  1024     0 2358 3680 40  1 59  0  0
 3  0 159756 19225956   7420 2475104    0    0  1798     0 2162 3445 34  1 65  0  0
 1  0 159756 19221772   7436 2479124    0    0  2056     0 1849 2698 21  0 78  0  0
 0  0 159756 19219060   7440 2481344    0    0  1026    34 1042 1461  2  0 98  0  0
 0  0 159756 19217860   7448 2483392    0    0  1024    58  716 1203  0  0 99  0  0
 0  0 159756 19215528   7460 2486456    0    0  1542    16  698 1208  0  0 100  0  0
 1  0 159756 19213280   7460 2488504    0    0  1024     0  686 1187  0  0 100  0  0
 0  0 159756 19210296   7472 2491424    0    0  1542     0  858 1263  0  0 100  0  0
 0  0 159756 19208824   7472 2493188    0    0   768    96  665 1156  0  0 100  0  0
 0  0 159756 19206600   7476 2495600    0    0  1156     0  621 1173  0  0 100  0  0
 0  0 159756 19204624   7476 2497472    0    0  1024     8  604 1160  0  0 100  0  0
 0  0 159756 19201772   7496 2500368    0    0  1542    46  794 1238  0  0 99  0  0
 5  0 159756 19020244   7516 2507464    0    0  3476     0 6829 7957 43  1 55  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 159756 18881224   7520 2509696    0    0  1026     0 15433 18125 48  2 49  0  0
 6  0 159756 18645368   7520 2511744    0    0  1024     0 15257 19054 44  2 54  0  0
10  0 159756 18589956   7548 2534112    0    0 11278     6 15014 19197 42  1 57  0  0
 7  0 159756 18456772   7580 2571236    0    0 18578     0 18757 19322 58  2 40  0  0
 9  0 159756 18240756   7632 2618284    0    0 23578     0 18173 18537 56  2 41  0  0
 9  4 159756 18105216   7732 2711784    0    0 46564    10 18325 18651 70  3 27  0  0
 8  0 159756 17880668   7896 2870064    0    0 79396   134 16667 13089 56  2 35  7  0
 6  4 159756 17487448   8076 3058736    0    0 94068    16 16884 19677 61  2 26 11  0
 6  2 159756 17292644   8256 3245968    0    0 93530     0 15876 19580 60  2 25 13  0
 5  4 159756 17062748   8444 3434540    0    0 93664     0 8304 10599 44  1 35 19  0
 3  0 159756 16865316   8592 3589804    0    0 77494     6 2540 3370 33  1 60  6  0
 3  0 159756 16740776   8712 3714492    0    0 62526     0 1783 2719 25  1 73  1  0
 0  0 159756 16635384   8772 3780196    0    0 32670     0 1780 2438 15  0 84  0  0
 0  0 159756 16634864   8772 3780472    0    0     0     0  713 1204  0  0 100  0  0
 0  0 159756 16634640   8780 3780480    0    0     0    46  645 1190  0  0 99  0  0
 0  0 159756 16634920   8780 3780476    0    0     0    66  654 1197  0  0 100  0  0
 0  0 159756 16635788   8780 3780468    0    0     0     0  622 1185  0  0 100  0  0
 0  0 159756 16635680   8780 3780456    0    0     0     6  625 1223  0  0 100  0  0
 0  0 159756 16631844   8780 3780452    0    0     0     0  679 1231  0  0 99  0  0
 0  0 159756 16631984   8780 3780452    0    0     0     0  714 1195  0  0 100  0  0
 0  0 159756 16631976   8780 3780448    0    0     0     0  636 1197  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 159756 16632380   8780 3780448    0    0     0     0  613 1184  0  0 100  0  0
 1  0 159756 16632256   8788 3780448    0    0     0    44  613 1189  0  0 99  0  0
