procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3 160916 31318144   2744  96560    0    0    35    14    1    0  0  0 99  0  0
 0  1 160916 31250792   2820 114048    0    0  8426     0 1387 1533  6  1 86  8  0
 5  0 160916 31175212   2876 132464    0    0  9270     0 1415 1414  8  0 88  4  0
 2  1 160916 31019688   2960 147364    0    0  7138     0 2652 4154 10  1 87  3  0
12  0 160912 30749908   3112 177000    0    0 14950     0 3890 6185 10  1 67 22  0
 4 12 160912 26926444   3268 288436    0    0 55982     0 2950 2096 46  7 24 23  0
 4 13 160912 25286288   3384 416752    0    0 64504     0 2280 2283 28  3 42 27  0
 2 11 160912 24824636   3532 553904    0    0 68460   302 1980 1703 30  1 34 34  0
 5 13 160912 24428084   3700 726592    0    0 86394    22 2396 1905 32  1 38 28  0
 4 12 160912 24108400   3836 866216    0    0 69546   124 2263 1781 35  1 33 31  0
 3 13 160912 23963724   3984 1008224    0    0 71034    10 2159 2048 27  1 39 33  0
 4 11 160912 23449728   4128 1151628    0    0 71798     2 2376 1889 40  2 34 25  0
 4 11 160912 22310456   4276 1297700    0    0 72778     0 2433 1847 40  3 32 25  0
10  2 160912 21990528   4396 1426032    0    0 64244     0 2180 1868 34  1 30 35  0
 5 13 160912 21812804   4532 1573456    0    0 73412    10 2483 2244 44  2 19 35  0
12  4 160912 21372124   4760 1751664    0    0 89454    66 5361 3793 66  3 16 14  0
11  0 160912 21197004   4784 1777624    0    0 12508     0 4074 3195 85  5 10  0  0
11  0 160912 21111368   4828 1790388    0    0  6334     2 3890 3415 85  5  9  1  0
11  0 160912 21064420   4868 1820048    0    0 14868     0 3700 3259 87  5  8  0  0
14  0 160912 21016512   4904 1847996    0    0 13972     0 3661 3326 89  5  5  0  0
11  5 160912 20901184   5028 1939436    0    0 45934     0 4702 3850 92  6  2  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  7 160912 20742136   5196 2083036    0    0 71234    70 3720 3304 49  2 25 25  0
 6 10 160912 20585872   5364 2223480    0    0 70506    36 2677 2502 39  1 36 25  0
 5 11 160912 20393424   5532 2370328    0    0 73500     0 2595 2034 41  1 34 23  0
 4 11 160912 20199736   5668 2521332    0    0 75016     0 2558 1879 42  1 31 26  0
 8 15 160912 19988812   5816 2658512    0    0 68486     8 2717 2135 41  1 27 31  0
 2 15 160912 19736860   5944 2792880    0    0 67232     0 2833 2138 54  2 12 32  0
 4 11 160908 19601072   6148 2927740    0    0 67184   118 2549 2021 41  1 24 34  0
 8 13 160908 19411220   6300 3061096    0    0 67140    52 2792 1853 48  1 27 24  0
10  0 160908 18730360   6692 3472356    0    0 204594    60 9446 7279 47  2 17 34  0
11  0 160908 18636664   6728 3509924    0    0 18834     0 3856 3207 84  5 12  0  0
11  0 160908 18577284   6764 3538024    0    0 13972    22 3723 3258 87  5  8  0  0
12  0 160908 18546556   6776 3553604    0    0  7814     0 3535 3267 87  4  9  0  0
 9  0 160908 18529816   6788 3555948    0    0  1026    46 3582 3304 85  4 10  0  0
 1  0 160908 18508404   6828 3577412    0    0 10772     0 3008 2580 35  1 63  0  0
 1  0 160908 18461540   6888 3623724    0    0 23200     0 2688 1722  8  0 91  0  0
 0  0 160908 18416204   6932 3668756    0    0 22550     0 2110 1357  2  0 97  0  0
 0  0 160908 18386204   6960 3698928    0    0 14990     0 1242 1114  0  0 100  0  0
12  0 160908 18215428   6976 3704424    0    0  2758     0 3063 3446 37  1 62  0  0
17  0 160908 18078416   6980 3706472    0    0  1026     8 8027 5270 95  4  1  0  0
18  0 160908 17817892   6996 3720260    0    0  7176     0 8926 3831 93  6  2  0  0
16  0 160908 17511240   7052 3760848    0    0 20504   120 8152 3203 93  5  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0 160908 17240012   7096 3814388    0    0 26394     0 9230 4170 93  6  2  0  0
14  1 160908 17141548   7180 3891556    0    0 38724     0 6646 3854 94  5  1  0  0
11  0 160908 16912692   7256 3962788    0    0 35600     4 11169 5008 90  6  4  0  0
 9  5 160908 16669204   7388 4086516    0    0 61554     0 9719 6717 67  4 23  6  0
 7  7 160908 16512452   7520 4225160    0    0 69082    42 4800 3039 56  2 26 16  0
 7  7 160908 16279200   7660 4359936    0    0 67252     0 7011 5826 59  3 24 14  0
 6  7 160908 16136772   7792 4501292    0    0 70700     0 5266 4335 60  3 19 17  0
 7 13 160908 15853740   7944 4639732    0    0 68944    56 2653 2229 48  2 20 30  0
 2  4 160908 15512424   8260 4960512    0    0 160412    44 5659 4473 49  1 25 25  0
 5  1 160908 15364128   8396 5108324    0    0 74028     0 2092 2020 34  1 52 13  0
 0  0 160908 15289488   8464 5183096    0    0 36898     2 1733 1724 20  1 77  3  0
 0  0 160908 15287412   8464 5185468    0    0  1024     0  619  944  0  0 100  0  0
 0  0 160908 15286328   8468 5187700    0    0  1026     0  648  929  0  0 100  0  0
 0  0 160908 15284352   8476 5189564    0    0  1024    58  680  965  0  0 99  0  0
 0  0 160908 15283236   8480 5191800    0    0  1026     0  701  970  0  0 100  0  0
 0  0 160908 15281640   8480 5193540    0    0  1024    10  691  987  0  0 100  0  0
 0  0 160908 15280664   8484 5195568    0    0  1026     0  698  972  0  0 100  0  0
 0  0 160908 15279020   8484 5197752    0    0  1024     0  646  954  0  0 100  0  0
 0  0 160908 15276540   8488 5199804    0    0  1026     2  660  960  0  0 100  0  0
 1  0 160908 15271092   8488 5201728    0    0  1024     0  641  961  1  0 99  0  0
 0  0 160908 15269628   8492 5203388    0    0   770    10  653  959  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  0 160908 15265704   8512 5206412    0    0  1662    28 1655 2502  8  0 92  0  0
13  0 160908 15198396   8516 5209324    0    0  1282     0 13194 8608 94  5  1  0  0
15  0 160908 15195740   8516 5211388    0    0  1024    84 17298 8127 91  7  3  0  0
12  0 160908 15072880   8520 5215392    0    0  2050     0 14566 6556 92  6  2  0  0
11  0 160908 14757372   8536 5227580    0    0  6152    12 8585 4828 86  5  9  0  0
10  0 160908 14716680   8552 5242476    0    0  7432     0 7958 5655 81  4 15  0  0
10  0 160908 14584112   8564 5257632    0    0  7560     0 5692 5201 80  4 16  0  0
14  0 160908 14537692   8596 5276388    0    0  9232     0 5627 5030 85  3 12  0  0
12  0 160908 14376624   8620 5297072    0    0 10504    74 7273 6390 87  4  9  0  0
13  0 160908 14301820   8648 5321312    0    0 12046     8 7896 7372 89  4  6  0  0
16  0 160908 14224732   8664 5339660    0    0  9224     0 4736 2663 94  4  2  0  0
17  0 160908 14133548   8680 5357956    0    0  9098     0 5961 2524 94  4  2  0  0
11  0 160908 14005196   8720 5379344    0    0 10764     6 8921 3027 91  4  4  0  0
 9  1 160908 13945288   8752 5404828    0    0 12710     0 11953 6280 79  4 17  0  0
 9  0 160908 13882152   8776 5433720    0    0 14196     0 11431 8733 70  4 25  0  0
 9  0 160908 13720192   8796 5460680    0    0 13322     0 6876 5975 75  3 22  0  0
10  0 160908 13429096   8856 5493460    0    0 16406   130 8227 7084 81  4 15  0  0
13  0 160908 13394976   8892 5526180    0    0 16658    12 5736 4444 88  4  8  0  0
11  0 160908 13294880   8916 5559820    0    0 16526     0 4591 3645 89  4  8  0  0
11  0 160908 13179444   8952 5591664    0    0 16146    28 4936 3925 88  3  8  0  0
11  0 160908 13040912   8976 5614212    0    0 11020     0 5016 3819 84  4 13  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0 160908 12958904   9000 5636012    0    0 11018     0 3773 3001 88  3  9  0  0
10  0 160908 12901044   9028 5663128    0    0 13324     0 3375 2863 74  2 24  0  0
 8  0 160908 12830468   9060 5691864    0    0 14352     0 3053 2838 66  2 32  0  0
 8  0 160908 12751652   9096 5720744    0    0 14604   126 3285 3065 66  2 32  0  0
 6  0 160908 12679580   9136 5750772    0    0 14864     0 2623 2411 53  1 46  0  0
 3  0 160908 12614480   9152 5763664    0    0  6404     0 2175 2037 38  1 61  0  0
 1  0 160908 12614656   9164 5763904    0    0     0     8 1427 1573 15  0 85  0  0
 1  0 160908 12571180   9164 5763920    0    0     0     0 1242 1222 12  0 87  0  0
 0  0 160908 12570220   9164 5763920    0    0     0     6  906 1105  3  0 97  0  0
 0  0 160908 12570528   9164 5763924    0    0     0     0  626  926  0  0 100  0  0
12  0 160908 12565564   9172 5764044    0    0    12     0 6677 4108 46  2 52  0  0
12  0 160908 12257052   9180 5764036    0    0     0   122 15215 8565 84  6 10  0  0
15  0 160908 12074560   9180 5764044    0    0     0     0 14836 8015 91  6  2  0  0
18  0 160908 11878392   9180 5764072    0    0     0    10 9319 4839 92  6  2  0  0
10  0 160908 11806364   9180 5764072    0    0     0     0 8940 3110 95  5  0  0  0
14  0 160908 11648072   9180 5764072    0    0     0     0 8884 3134 94  5  1  0  0
 8  0 160908 11648736   9180 5764080    0    0     0    24 7274 3555 86  4 10  0  0
10  0 160908 11619604   9180 5764100    0    0     0     0 8435 4432 72  3 25  0  0
14  0 160908 11571260   9188 5764608    0    0   256    60 9396 5359 90  4  6  0  0
11  0 160908 11210752   9188 5764640    0    0     0     0 10347 5939 90  5  4  0  0
10  0 160908 11209216   9188 5764656    0    0     0     0 8563 5598 88  5  7  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 160908 11060408   9188 5764652    0    0     0     4 3399 2874 70  3 27  0  0
 8  0 160908 11035492   9188 5764652    0    0     0     0 2915 2989 65  2 33  0  0
 5  0 160908 11035152   9188 5764656    0    0     0     8 2620 2626 55  1 43  0  0
 1  0 160908 11035468   9188 5764660    0    0     0     0 1739 1862 25  1 74  0  0
 0  0 160908 11035352   9188 5764664    0    0     0     0  976 1137  6  0 94  0  0
 0  0 160908 11035120   9196 5764672    0    0     0    98  693  958  0  0 99  1  0
 0  0 160908 11034904   9196 5764660    0    0     0     0  748  984  0  0 100  0  0
11  0 160908 11035432   9208 5765048    0    0   256     0 1157 1740  5  0 95  0  0
13  0 160908 11032764   9208 5765272    0    0     0     0 11612 7195 76  3 21  0  0
16  0 160908 10790044   9208 5765276    0    0     0     0 15435 7585 79  6 16  0  0
13  0 160908 10471320   9208 5765276    0    0     0    10 12024 5293 88  6  6  0  0
 1  0 160908 10416772   9276 5818924    0    0     2     0 10219 2634 54  3 43  0  0
11  0 160908 10225944   9308 5845392    0    0     0    70 7146 3318 61  3 36  0  0
11  1 160908 10099836   9312 5844872    0    0     0 37846 7858 3351 87  4  7  2  0
10  0 160908 9937592   9364 5874948    0    0 15888   118 9696 6849 71  3 25  0  0
12  0 160908 9690584   9412 5915680    0    0 20378     0 7410 5885 86  4 10  0  0
13  0 160908 9434124   9476 5978196    0    0 31262     0 4102 3373 93  4  3  0  0
 3  0 160908 9236964   9588 6080592    0    0 24600     4 3048 2427 67  2 30  0  0
12  0 160908 9084392   9708 6168380    0    0 13974     0 8694 4149 61  3 36  0  0
12  0 160908 8934880   9756 6210764    0    0 16656     0 9229 5462 87  4  9  0  0
 4  0 160908 8805068   9900 6340320    0    0 24602     8 3596 3197 45  1 53  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  3 160908 8612228   9976 6409228    0    0 12966 98210 6859 3074 62  3 27  8  0
11  0 160908 8378144  10016 6438060    0    0 14964   458 3956 2822 92  4  3  1  0
10  0 160908 8285024  10068 6475564    0    0 16278     0 3715 2940 86  3 10  0  0
 3  0 160908 8201332  10176 6559480    0    0  4486     0 2499 2184 48  2 50  0  0
 9  0 160908 8106664  10192 6573540    0    0     0     0 3253 2383 64  1 34  0  0
 6  0 160908 8059428  10200 6575892    0    0     0     0 4276 3623 64  2 34  0  0
 6  0 160908 7855588  10200 6578472    0    0     0    20 2389 2124 46  1 52  0  0
 5  2 160908 7744276  10236 6606016    0    0     0 75794 5318 2128 42  1 50  6  0
11  0 160908 7731760  10248 6602276    0    0     0   188 2090 2050 34  1 61  4  0
 1  0 160908 7693840  10256 6602240    0    0     2    12 1291 1330 15  0 84  0  0
 0  0 160908 7695088  10260 6602232    0    0     0     0  897 1075  5  0 95  0  0
 0  0 160908 7695856  10260 6601976    0    0     0     0  647  979  0  0 100  0  0
 0  0 160908 7695740  10260 6601972    0    0     0     0  663  930  0  0 100  0  0
 0  0 160908 7696028  10260 6601912    0    0     0     0  643  934  0  0 100  0  0
 0  0 160908 7696408  10268 6601908    0    0     0  3576  659  947  0  0 99  1  0
17  0 160908 7981360  10276 6317080    0    0     0     0 2169 2849 18  1 81  0  0
15  0 160908 7900968  10276 6317148    0    0     0     8 8347 2653 92  5  3  0  0
15  0 160908 7813440  10276 6317048    0    0     0     0 6842 2935 93  6  2  0  0
12  0 160908 7650380  10276 6317040    0    0     0     0 4540 2815 92  5  3  0  0
13  0 160908 7547368  10276 6316892    0    0     0     6 3484 3079 93  6  2  0  0
12  0 160908 7494528  10276 6316896    0    0     0     0 3889 3204 92  4  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0 160908 7391872  10276 6316788    0    0     0    20 3588 3009 93  5  2  0  0
13  0 160908 7279536  10288 6316800    0    0     0   182 13483 8220 83  5 11  0  0
10  0 160908 7194472  10288 6316756    0    0     0     0 12951 10392 88  6  7  0  0
12  0 160908 7016452  10288 6316760    0    0     0   128 3626 2953 94  5  1  0  0
14  0 160908 7015356  10288 6316720    0    0     0     0 3991 2931 95  4  1  0  0
13  0 160908 7014260  10288 6316716    0    0     0    10 7172 2763 95  4  1  0  0
16  0 160908 6991812  10288 6316660    0    0     0     0 6712 2792 94  3  3  0  0
11  0 160908 6991580  10288 6317184    0    0   256     0 10225 7120 82  4 14  0  0
