procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  2 16307248 24828256   1828  35288    0    1    10     6    1    1  0  0 100  0  0
 0  1 16307248 24773472   2224  45292    0    0  5170   176 1531 3384  5  0 89  6  0
 1  0 16307248 24714768   2316  52044    0    0  3464     0 1443 3392  9  1 87  3  0
 0  2 16307248 24637664   2436  59612    0    0  3792    10 1563 4923  7  1 88  4  0
 1  0 16307248 24472372   2520  67556    0    0  3852   174 1458 5681 10  1 86  3  0
13  0 16307104 24344240   2712  79500  152    0  6428     0 1403 7235 12  1 74 13  0
 3 11 16307104 22589144   2772 128944    0    0 24598   398 1220 3919 33  4 41 22  0
 2 11 16307104 20590576   2848 190868    0    0 30694     0 1271 3686 13  4 48 35  0
 6 11 16307104 19128076   2928 254764    0    0 32618     0 1311 3808 16  3 55 27  0
 1 12 16307104 18873384   3012 324184    0    0 34254    72 1315 4246 14  1 58 27  0
16 10 16307104 18566060   3100 392432    0    0 34506     6 1350 3811 17  1 61 21  0
 1 12 16307104 18408912   3184 466188    0    0 36706    86 1356 3893 17  1 53 29  0
 1 11 16307104 18327120   3256 540300    0    0 37004     0 1360 3818 15  1 61 23  0
 2 11 16307104 18041308   3320 613444    0    0 36512     4 1306 3907 20  1 57 22  0
 2 11 16307104 17969472   3396 684332    0    0 35466    80 1310 3855 14  1 52 34  0
 3 12 16307068 17717596   3484 759104   46    0 37810   216 1325 3894 22  1 60 16  0
 1 15 16307068 17649156   3580 827140   14    0 33874    82 1336 3613 14  1 66 20  0
 2 12 16306996 17259104   3640 895160   98    0 34256     0 1304 3717 22  1 45 32  0
 3 14 16306912 17185624   3732 966076  106    0 36232    38 1324 3717 14  1 39 46  0
 1 13 16306880 17113844   3828 1037524   48    0 35214    94 1386 3776 14  1 48 38  0
 1 13 16306876 16000792   3904 1112288   18    0 37018     8 1385 3797 24  3 49 25  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 11 16306864 15920824   3992 1189968   22    0 39186   104 1399 3886 17  1 53 30  0
 6  9 16306864 15607936   4060 1264080    0    0 37410     0 1342 4339 36  2 38 24  0
 7  8 16306864 15419252   4140 1334644    0    0 35236     0 1419 4910 45  2 38 16  0
 8  6 16306856 15183084   4224 1409796   28    0 37846   100 1398 5523 58  2 23 16  0
11  2 16306844 14987084   4308 1492892    0    0 41374     0 1385 5786 62  3 25 10  0
 5  6 16306844 14859136   4436 1575448    0    0 41218   108 1398 5770 66  3 19 12  0
 5  8 16306844 14743068   4536 1651672    0    0 38384     0 1439 5065 51  2 33 14  0
 8  8 16306844 14643524   4636 1733356    0    0 40604    26 1358 4946 43  1 43 12  0
 3  9 16306840 14529028   4728 1817416   14    0 42168   108 1472 4447 29  1 50 19  0
 1  7 16306840 14444664   4824 1900788    0    0 41840     6 1427 4147 21  1 57 22  0
 3  7 16306840 14336720   4920 1987120    0    0 42796   114 1474 4037 23  1 61 15  0
 6  5 16306840 14197784   5008 2068156    0    0 40774     0 1712 4587 35  1 55 10  0
 9  3 16306840 14051708   5096 2145380    0    0 38870    56 1894 5282 44  2 41 14  0
 8  5 16306840 13951424   5192 2224508    0    0 39370   132 2115 5642 51  2 38 10  0
 6  0 16306840 13839372   5256 2283176    0    0 29066    24 2926 5359 53  2 37  8  0
11  0 16306840 13729008   5296 2322836    0    0 20054     0 2594 4327 52  2 46  0  0
 6  0 16306840 13689504   5312 2327788    0    0  2308   120 2577 4332 44  2 54  0  0
 3  0 16306840 13686592   5332 2329196    0    0   714     6 2694 3621 31  1 68  1  0
 3  0 16306840 13656380   5444 2329156    0    0   128   208 2549 3134 18  1 81  1  0
 1  0 16306840 13655312   5452 2329376    0    0     0    28 2111 2801  7  0 93  0  0
 2  1 16306840 13604620   5460 2329836    0    0   516     0 1141 4065  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0 16306840 13413536   5472 2331532    0    0   578   172 1404 5661 94  4  2  0  0
11  0 16306840 13050020   5472 2332852    0    0   768     0 7662 5712 91  7  2  0  0
 9  0 16306840 12878632   5504 2361536    0    0 14352     0 3794 6645 79  5 17  0  0
 6  6 16306840 12808608   5564 2409288    0    0 23898    94 3353 8338 75  4 18  3  0
 4  3 16306840 12730616   5644 2474624    0    0 32640     0 2427 5330 24  1 60 15  0
 5  5 16306840 12459844   5724 2544900    0    0 35072   144 6976 11285 29  2 59 10  0
 4  9 16306840 12351956   5792 2614120    0    0 34610     4 5822 8513 28  1 58 12  0
 3  9 16306840 12246588   5868 2680876    0    0 33856     0 4862 8851 24  1 56 19  0
 2 11 16306840 12180664   5940 2745668    0    0 32288   246 2247 4516 25  1 47 27  0
 4 10 16306840 11935560   6012 2815636    0    0 35084     0 2283 4117 28  1 45 26  0
 1 11 16306840 11866624   6100 2884676    0    0 34376   140 2956 4154 19  1 63 17  0
