 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 4668.3      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 346034.1 15379136.0    0.0     21248.0 14067.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3691482.9 15379136.0    0.0     28736.0 28527.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5652663.0 15379136.0    0.0     38912.0 38717.6      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   90973.3 5767232.0 1236809.5 15379136.0    0.0     48128.0 48035.3      1    0.058   0      0.000    0.058
961152.0 961152.0  0.0   90973.3 5767232.0 4942849.5 15379136.0    0.0     48128.0 48072.2      1    0.058   0      0.000    0.058
961152.0 961152.0 112450.8  0.0   5767232.0 3010370.1 15379136.0    0.0     48128.0 48111.7      2    0.143   0      0.000    0.143
961152.0 961152.0  0.0   168153.3 5767232.0 1668977.4 15379136.0    0.0     48320.0 48129.4      3    0.259   0      0.000    0.259
961152.0 961152.0  0.0   168153.3 5767232.0 5592845.0 15379136.0    0.0     48320.0 48145.3      3    0.259   0      0.000    0.259
961152.0 961152.0 214137.3  0.0   5767232.0 3876027.4 15379136.0    0.0     48320.0 48146.7      4    0.404   0      0.000    0.404
312128.0 961152.0  0.0   281839.3 5767232.0 2200928.6 15379136.0    0.0     48320.0 48148.9      5    0.573   0      0.000    0.573
312128.0 961152.0 201929.3 281839.3 5767232.0 5767232.0 15379136.0    0.0     48320.0 48228.9      6    0.573   0      0.000    0.573
312128.0 376256.0 312127.3  0.0   6937024.0 4425125.3 15379136.0  14466.0   48320.0 48229.4      6    0.841   0      0.000    0.841
389184.0 273600.0  0.0   273568.2 6937024.0 1512536.1 15379136.0  108810.4  48320.0 48230.4      7    1.122   0      0.000    1.122
389184.0 273600.0  0.0   273568.2 6937024.0 5591052.1 15379136.0  108810.4  48320.0 48231.2      7    1.122   0      0.000    1.122
389184.0 405696.0 295904.2  0.0   6878144.0 2757913.0 15379136.0  189926.4  48320.0 48232.9      8    1.348   0      0.000    1.348
