procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2   8160 31372104   1872 106424    0    0    32    14    0    0  0  0 99  0  0
 1  0   8160 31310416   2176 125776    0    0  9800     0 1576 1434  3  0 87  9  0
 1  0   8160 31242084   2248 144488    0    0  9396     0 1659 1260  7  0 88  4  0
 3  0   8160 31108408   2276 160240    0    0  8132     0 2782 3961 10  1 86  3  0
 0  9   8160 30904272   2432 189056    0    0 14088     8 3083 5523 10  1 68 21  0
 5 11   8160 28333196   2560 267068    0    0 39006   408 3412 3054 43  5 35 17  0
 2 13   8160 25604916   2664 388052    0    0 60724   110 2097 1964 26  5 40 30  0
 2 12   8160 25204260   2772 509936    0    0 60704     0 1611 1474 21  1 46 32  0
 3 14   8160 24862020   2908 626424    0    0 58548     0 1752 1464 25  1 40 34  0
 4 12   8160 24525980   3036 759620    0    0 66392     0 1898 1599 31  1 38 31  0
 3 15   8160 24238276   3176 899744    0    0 70266     0 2300 2020 34  1 31 33  0
 2 13   8160 24129228   3280 1008392    0    0 54020     0 1533 1517 19  1 37 44  0
 2 12   8160 23678348   3396 1129976    0    0 60578     0 1982 1700 30  2 37 31  0
 3 13   8160 22955676   3524 1260620    0    0 65344     6 1747 1772 22  2 38 39  0
10 12   8160 22058916   3748 1473148    0    0 106022    22 4126 3173 38  2 36 24  0
10  1   8160 21840576   3888 1596972    0    0 61846    40 2627 2275 40  1 39 20  0
11  0   8160 21527600   3988 1696512    0    0 49576     0 3814 2884 75  4 12 10  0
13  0   8160 21357348   4056 1754132    0    0 28578     0 4856 3723 91  6  3  0  0
12  0   8160 21240440   4124 1805980    0    0 26228     2 3951 3336 92  6  2  1  0
12  0   8160 21170620   4148 1830336    0    0 12044     0 3876 3245 93  6  1  0  0
14  0   8160 21137768   4192 1857416    0    0 13460    68 3627 3243 94  6  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0   8160 21067204   4292 1923196    0    0 33074     0 3931 3355 93  6  1  0  0
10  8   8160 20934748   4428 2030176    0    0 53518     0 4796 3819 83  5  8  5  0
 6  9   8160 20783724   4580 2157560    0    0 63392     6 3061 2919 48  2 27 23  0
 3 12   8160 20652400   4740 2288108    0    0 65122     0 2069 1996 23  1 40 37  0
 2 11   8160 20480108   4852 2417140    0    0 64580     0 1954 1629 26  1 39 33  0
 5 12   8160 20291628   4988 2544040    0    0 63352     0 2034 1557 31  1 52 16  0
 4 10   8160 20157336   5116 2677796    0    0 66652     0 1808 1619 24  1 53 22  0
 6 14   8160 19964120   5244 2810056    0    0 65810    72 2540 2010 37  1 39 23  0
11  3   8160 19623392   5452 3001968    0    0 95796    48 3919 3479 42  2 30 26  0
11  7   8160 19472112   5572 3124752    0    0 61396    32 2950 2485 56  2 20 22  0
10  0   8160 19255360   5692 3249100    0    0 62094     0 3171 2492 57  2 21 21  0
10  2   8160 19077696   5820 3367668    0    0 59458    30 4584 3040 80  5  8  7  0
11  0   8160 18887488   5912 3472592    0    0 52272     0 4406 3130 77  5 12  5  0
10  0   8160 18815848   5968 3522320    0    0 24732     0 4481 3424 79  4 16  0  0
 8  0   8160 18728320   6016 3565572    0    0 21524    62 4272 3582 71  4 24  0  0
 4  0   8160 18721280   6020 3571520    0    0  2946     0 3057 3124 60  3 37  0  0
 0  0   8160 18719188   6020 3573576    0    0  1024    10 1692 2049 25  1 75  0  0
 0  0   8160 18717252   6024 3575624    0    0  1026     0  668  947  0  0 100  0  0
 0  0   8160 18715804   6024 3577672    0    0  1024     0  766  959  0  0 100  0  0
11  0   8160 18576036   6036 3582140    0    0  2244     6 3484 3721 39  1 59  0  0
11  0   8160 18405132   6036 3584296    0    0  1024     0 7229 4865 87  5  8  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0   8160 18071728   6040 3587964    0    0  2050     0 9926 4636 88  7  4  0  0
15  0   8160 17963236   6084 3618652    0    0 15378    96 7452 3556 94  6  1  0  0
16  0   8160 17758504   6132 3659864    0    0 20508     0 8477 3968 93  6  1  0  0
 9  0   8160 17670580   6180 3712244    0    0 26136     0 8651 5002 83  6 12  0  0
 9  2   8160 17457176   6280 3810508    0    0 49098     0 7942 7000 63  4 31  2  0
 7  5   8160 17287296   6396 3923644    0    0 56404    30 5814 4614 73  3 16  8  0
12  3   8160 17099552   6500 4035468    0    0 55556     0 6350 3886 84  5  5  6  0
11  0   8160 16919372   6592 4129320    0    0 47156     0 5066 3539 87  5  7  0  0
 7  4   8160 16794124   6708 4237940    0    0 54222    88 6843 3673 69  4 20  7  0
 6  4   8160 16644324   6836 4370352    0    0 66088     0 3666 3234 57  3 25 15  0
 2  5   8160 16454008   6964 4499280    0    0 64220    46 2536 2432 46  2 37 15  0
 2  0   8160 16345268   7060 4606740    0    0 53784     0 1905 1838 23  0 64 12  0
 2  0   8160 16263840   7140 4688708    0    0 40744     0 1550 1636 17  0 83  0  0
 0  0   8160 16239444   7160 4712996    0    0 12042     0 1097 1235  6  0 94  0  0
 0  0   8160 16239956   7160 4712992    0    0     0     0  652  955  0  0 100  0  0
 0  0   8160 16239980   7160 4712988    0    0     0     8  717  960  0  0 100  0  0
 0  0   8160 16240500   7168 4712984    0    0     0    50  671  972  0  0 99  0  0
 0  0   8160 16240872   7168 4712992    0    0     0     0  711  957  0  0 100  0  0
 1  0   8160 16241916   7168 4712984    0    0     0     0  663  981  0  0 100  0  0
 1  0   8160 16238624   7168 4712984    0    0     0     0  679  956  0  0 99  0  0
 1  0   8160 16239936   7168 4712988    0    0     0     0  701  943  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   8160 16240680   7168 4713000    0    0     0     0  632  933  0  0 100  0  0
 0  0   8160 16240676   7168 4713008    0    0     0     0  704  990  0  0 100  0  0
 0  0   8160 16241048   7168 4713000    0    0     0     4  635  942  0  0 100  0  0
14  0   8160 16222172   7188 4713756    0    0   638    30 1813 2755  5  0 94  1  0
13  0   8160 16143164   7188 4714456    0    0     0    26 10596 5408 94  5  1  0  0
13  0   8160 15917700   7188 4715240    0    0   512     0 15203 7678 86  7  7  0  0
12  0   8160 15665500   7200 4724740    0    0  4614     0 11394 5119 87  6  7  0  0
11  0   8160 15455932   7212 4735904    0    0  5638     8 12281 6646 83  6 11  0  0
12  0   8160 15458612   7240 4757872    0    0 11022     0 7296 4535 90  5  5  0  0
13  0   8160 15239024   7256 4778800    0    0 10378     0 5921 3110 94  5  1  0  0
11  0   8160 15127916   7284 4803456    0    0 12302     0 5883 2847 92  4  3  0  0
12  0   8160 15088804   7324 4835416    0    0 16018   126 4101 3087 87  4  9  0  0
11  0   8160 14985248   7348 4862472    0    0 13836    52 3831 2788 87  3  9  0  0
13  0   8160 14849220   7376 4889676    0    0 13456     0 3957 2798 93  4  2  0  0
14  0   8160 14752940   7400 4916388    0    0 13068     0 4571 2563 93  4  2  0  0
10  0   8160 14699584   7432 4943076    0    0 13326     0 6145 3019 92  5  4  0  0
 9  0   8160 14631244   7488 4981808    0    0 19476     0 6115 4884 73  4 24  0  0
11  0   8160 14520396   7524 5018888    0    0 18450     0 7594 6289 78  5 18  0  0
10  0   8160 14297064   7560 5050972    0    0 16016     0 5016 3988 81  4 14  0  0
11  0   8160 14201704   7588 5071360    0    0 10250   134 8915 5095 84  5 11  0  0
15  0   8160 14128800   7608 5090340    0    0  9354     0 9265 4342 92  5  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0   8160 14003100   7636 5108468    0    0  8970     0 7587 3078 92  4  3  0  0
11  0   8160 13901544   7652 5127764    0    0  9736    14 7684 3829 90  5  6  0  0
12  0   8160 13790936   7672 5140916    0    0  6534     0 6687 3581 87  4  8  0  0
11  0   8160 13701416   7680 5152464    0    0  5766     0 5236 2762 87  4  9  0  0
10  0   8160 13636012   7692 5163632    0    0  5638     0 5860 2842 86  4 10  0  0
 6  0   8160 13598804   7712 5176212    0    0  6150     0 3413 2957 74  3 23  0  0
10  0   8160 13496012   7736 5193284    0    0  8456    94 2694 2705 51  2 47  0  0
10  0   8160 13466680   7756 5209972    0    0  8456     0 2453 2570 50  1 48  0  0
 4  0   8160 13410756   7776 5228068    0    0  8970     6 2449 2459 43  1 55  0  0
 2  0   8160 13343084   7796 5240232    0    0  6020     0 1882 1832 28  1 72  0  0
 1  0   8160 13342480   7796 5240248    0    0     0     0 1161 1317  9  0 91  0  0
 0  0   8160 13342868   7800 5240248    0    0     0     0  806  987  1  0 99  0  0
 0  0   8160 13343064   7800 5240244    0    0     0     0  603  919  0  0 100  0  0
10  0   8160 13076200   7816 5240372    0    0    12   148 4003 3192 40  2 58  0  0
11  0   8160 13031328   7816 5240372    0    0     0     0 16094 7342 85  7  9  0  0
10  0   8160 12851296   7816 5240376    0    0     0     0 12366 6860 85  6  9  0  0
11  0   8160 12596044   7816 5240376    0    0     0    36 5920 4017 85  5 10  0  0
12  0   8160 12499408   7816 5240372    0    0     0     0 8862 5864 90  5  5  0  0
13  0   8160 12363024   7832 5255272    0    0  7432     6 7015 4054 94  5  1  0  0
 9  0   8160 12341628   7852 5273012    0    0  9100     0 8978 4711 84  4 12  0  0
12  0   8160 12395196   7868 5290868    0    0  8712     0 7044 4140 89  6  5  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0   8160 12255928   7896 5308844    0    0  8970    60 8104 3833 93  5  2  0  0
15  0   8160 12244476   7912 5322676    0    0  6920     0 5362 2717 95  5  1  0  0
13  0   8160 12133136   7924 5338020    0    0  7716     2 8018 2879 94  4  2  0  0
11  0   8160 12053464   7944 5355608    0    0  8714     0 7847 3659 90  5  5  0  0
 8  0   8160 11918688   7956 5371364    0    0  7814     0 10003 3745 74  5 21  0  0
 4  0   8160 11873552   7956 5371364    0    0     0     8 3215 2630 50  2 48  0  0
 1  0   8160 11869964   7956 5371360    0    0     0     0 1457 1568 18  0 81  0  0
 1  0   8160 11870260   7956 5371360    0    0     0     0 1100 1224  8  0 91  0  0
 1  0   8160 11870036   7964 5371360    0    0     0    60 1125 1219  8  0 91  0  0
 0  0   8160 11870408   7964 5371364    0    0     0     0  706 1030  1  0 99  0  0
10  0   8160 11870788   7968 5371360    0    0     0    54 1372 2155  3  0 97  0  0
 8  0   8160 11849340   7968 5371460    0    0     0     0 6983 4619 65  2 33  0  0
 7  0   8160 11761796   7968 5371464    0    0     0    66 13762 8796 55  4 41  0  0
10  0   8160 11514912   7968 5371464    0    0     0     0 12714 10318 50  3 47  0  0
10  0   8160 11290116   7980 5371452    0    0     0     0 12299 12012 67  4 29  0  0
10  0   8160 11326820   8084 5450100    0    0     2 23012 7293 6590 19  2 76  4  0
 9  0   8160 11050168   8112 5467572    0    0  8458     0 8560 7887 61  2 37  0  0
10  0   8160 10855860   8132 5488872    0    0 10636     0 7997 7221 72  3 24  0  0
 6  0   8160 10654848   8188 5534816    0    0  5894     0 10378 10512 72  3 25  0  0
12  0   8160 10505412   8228 5570956    0    0  8202     0 3976 2857 77  2 21  0  0
13  0   8160 10327864   8264 5607716    0    0 18448     2 3920 3103 94  4  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0   8160 10165648   8344 5676500    0    0 16018     0 6558 2836 78  3 19  0  0
 7  0   8160 10051212   8420 5730840    0    0 15124    10 7455 3899 84  4 13  0  0
