procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 162644 15828448   9352 4322492    0    0     0    26 20889 17609 47  3 50  0  0
10  0 162644 15447248   9372 4337676    0    0  7690     0 14626 11724 63  3 33  0  0
10  0 162644 15162908   9436 4395868    0    0 29090    24 11119 7542 90  4  7  0  0
10  0 162644 14974676   9508 4467244    0    0 35750     0 9926 4997 94  3  3  0  0
10  0 162644 14750360   9584 4547344    0    0 39978     0 4681 4100 94  3  3  0  0
10  0 162644 14623640   9660 4625084    0    0 38824     0 4108 4081 94  2  3  0  0
10  1 162644 14497872   9756 4702572    0    0 38592     0 5746 5114 83  2 14  0  0
11  1 162644 14380056   9852 4785328    0    0 41260   118 8400 8528 81  3 16  0  0
10  0 162644 14182888   9928 4865536    0    0 40334     0 10256 8833 83  3 14  0  0
12  0 162644 13935532  10000 4935540    0    0 34462     0 9986 10085 78  3 19  0  0
11  0 162644 13803132  10052 4975136    0    0 19860     0 5947 4708 73  2 25  0  0
10  0 162644 13614776  10072 4991332    0    0  8072     0 12324 10681 67  3 30  0  0
 9  0 162644 13369464  10088 5009464    0    0  8968     8 9351 8172 74  3 23  0  0
10  0 162644 13261808  10128 5040952    0    0 15764     0 8113 8647 80  2 18  0  0
10  0 162644 13069856  10160 5075204    0    0 16912     0 10652 9643 81  3 16  0  0
11  0 162644 12881120  10216 5119764    0    0 22426   166 10478 10194 91  3  6  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0 162644 12706520  10276 5175304    0    0 27676     0 6239 4841 92  3  5  0  0
11  0 162644 12540476  10352 5243704    0    0 33956    14 5936 4670 84  2 13  0  0
 8  0 162644 12298924  10416 5306696    0    0 31648     0 5068 3182 76  2 22  0  0
 6  0 162644 12204128  10480 5369060    0    0 31132     0 3022 3110 63  1 36  0  0
 5  0 162644 12097240  10532 5424852    0    0 27802    14 2602 2458 44  1 55  0  0
 3  0 162644 12057080  10576 5464152    0    0 19732     0 1813 1982 28  0 71  0  0
 3  0 162644 11986572  10612 5493760    0    0 14734     4 1812 1847 24  0 75  0  0
 1  0 162644 11975488  10632 5504844    0    0  5508    72 1419 1595 15  0 84  0  0
 1  0 162644 11975552  10632 5504916    0    0     0     0 1140 1282  8  0 92  0  0
 0  0 162644 11975428  10632 5504916    0    0     0     0  672  943  0  0 100  0  0
 0  0 162644 11975204  10632 5504916    0    0     0     0  631  939  0  0 100  0  0
 0  0 162644 11975344  10632 5504916    0    0     0     0  704  965  0  0 100  0  0
 0  0 162644 11975724  10632 5504900    0    0     0     0  649  951  0  0 100  0  0
 9  0 162644 11958828  10636 5505404    0    0   268     0 1352 1968  6  0 94  0  0
 5  0 162644 11766300  10644 5505536    0    0     0   106 13215 9370 61  3 36  0  0
 9  0 162644 11572488  10644 5505520    0    0     0     0 14350 8144 63  3 34  0  0
 8  0 162644 11435708  10644 5505520    0    0     0    90 12166 6617 59  2 39  0  0
