procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  6   9756 31384560   2008  95776    0    0    30    14    0    1  0  0 99  0  0
 2  0   9756 31307656   2144 117404    0    0 10724     4 1807 1325  6  0 85  8  0
 1  0   9756 31191012   2168 135004    0    0  8952     0 2356 2556 10  0 88  2  0
 0 12   9756 30825928   2312 155344    0    0  9866     0 3929 6893 13  1 78  7  0
 5  9   9756 28357988   2444 238900    0    0 41910     0 3780 3517 40  5 30 25  0
 6 12   9756 25203924   2576 378272    0    0 69546     0 2471 2211 32  6 44 18  0
11 10   9756 24722796   2696 501740    0    0 62116     0 1993 1644 28  1 50 20  0
 4 13   9756 24568160   2820 623076    0    0 60650   298 1897 1611 25  1 37 37  0
 5 11   9756 23399712   3300 1101480    0    0 238706   112 7130 6111 35  1 33 30  0
10  9   9756 22660872   3444 1245244    0    0 71800     0 2029 1840 30  2 34 33  0
 4 10   9756 22418292   3572 1386932    0    0 70928     0 2390 2159 40  1 29 30  0
 4 10   9756 22046284   3736 1522076    0    0 67642    10 2426 1932 41  2 29 28  0
 8  9   9756 21810908   3880 1654940    0    0 66036    36 2867 2237 49  2 21 28  0
12  0   9756 21529676   3944 1743112    0    0 44120    42 3780 2910 71  3 17  9  0
 2  0   9756 21351968   3984 1769444    0    0 13076     0 5770 4583 90  5  4  0  0
11  0   9756 21291992   4000 1773908    0    0  2056     0 3741 3126 87  4  8  0  0
12  0   9756 21286888   4016 1776976    0    0  1544     2 3630 3174 94  5  1  0  0
12  0   9756 21258360   4040 1793908    0    0  8546     0 3767 3377 93  5  2  0  0
11  0   9756 21214896   4116 1835420    0    0 20904     0 3950 3600 90  5  5  0  0
 3 10   9756 21103672   4296 1933868    0    0 48954     0 4265 3807 54  2 18 26  0
 3 15   9756 20968032   4432 2050968    0    0 58820    74 2522 2264 33  1 34 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 10   9756 20440764   4864 2484224    0    0 215990    74 7702 5816 27  1 36 36  0
 1 11   9756 20318240   5004 2605484    0    0 60384     0 1868 1702 25  1 37 38  0
 3 12   9756 20117608   5136 2722972    0    0 58818   108 2301 1870 35  1 33 31  0
 5 11   9756 19905208   5252 2841280    0    0 59194     0 3112 2209 42  1 36 20  0
 9 10   9756 19728516   5384 2960876    0    0 59560    52 2445 1931 38  1 39 21  0
 7  8   9756 19417728   5576 3127104    0    0 83144     2 4326 3612 45  1 31 23  0
 7  7   9756 19246284   5700 3236788    0    0 54846     0 3409 2532 62  2 23 13  0
10  3   9756 19028820   5812 3350828    0    0 56632    30 4050 2803 78  4 12  6  0
