 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 6666.6      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 346034.2 15379136.0    0.0     21248.0 14506.8      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3576074.4 15379136.0    0.0     31424.0 31294.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5652630.9 15379136.0    0.0     43904.0 43654.6      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   74021.2 5767232.0 1825080.4 15379136.0    0.0     47936.0 47885.6      1    0.063   0      0.000    0.063
961152.0 961152.0  0.0   74021.2 5767232.0 5767232.0 15379136.0    0.0     47936.0 47912.1      2    0.063   0      0.000    0.063
961152.0 961152.0 92476.8  0.0   5767232.0 3876347.8 15379136.0    0.0     47936.0 47932.1      2    0.136   0      0.000    0.136
961152.0 961152.0  0.0   147583.2 5767232.0 2080492.5 15379136.0    0.0     48128.0 47947.6      3    0.227   0      0.000    0.227
961152.0 961152.0 109577.1 147583.2 5767232.0 5767232.0 15379136.0    0.0     48128.0 48041.6      4    0.227   0      0.000    0.227
961152.0 961152.0 195871.2  0.0   5767232.0 4264667.0 15379136.0    0.0     48128.0 48042.7      4    0.343   0      0.000    0.343
288640.0 961152.0  0.0   258223.1 5767232.0 2724843.9 15379136.0    0.0     48128.0 48047.0      5    0.501   0      0.000    0.501
288640.0 355392.0 288639.2  0.0   6978752.0 3025791.9 15379136.0  21792.0   48128.0 48048.7      6    0.737   0      0.000    0.737
385664.0 288320.0  0.0   288288.2 6978752.0 169301.1 15379136.0  93474.2   48128.0 48051.9      7    0.975   0      0.000    0.975
385664.0 288320.0  0.0   288288.2 6978752.0 4525343.0 15379136.0  93474.2   48128.0 48053.9      7    0.975   0      0.000    0.975
385664.0 401216.0 282208.2  0.0   6887104.0 1122419.4 15379136.0  174242.2  48128.0 48054.8      8    1.205   0      0.000    1.205
385664.0 401216.0 282208.2  0.0   6887104.0 5908920.0 15379136.0  174242.2  48320.0 48152.7      8    1.205   0      0.000    1.205
405824.0 269696.0  0.0   269632.7 6887104.0 5725710.2 15379136.0  266050.2  48320.0 48186.8      9    1.445   0      0.000    1.445
405824.0 397248.0 147978.4  0.0   6886464.0 6565515.3 15379136.0  448754.3  48320.0 48190.9     10    1.722   0      0.000    1.722
411136.0 417792.0 14172.6  0.0   6853952.0 3342525.4 15379136.0  618659.6  48320.0 48191.9     12    1.960   0      0.000    1.960
419584.0 418752.0 1280.1  0.0   6851200.0 1208937.1 15379136.0  644057.9  48320.0 48240.9     14    2.016   0      0.000    2.016
413056.0 403264.0 12608.1  0.0   6873216.0 880868.1 15379136.0  650039.7  48320.0 48250.3     16    2.060   0      0.000    2.060
390208.0 403264.0  0.0   19840.1 6873216.0 4740454.9 15379136.0  659439.7  48320.0 48272.7     17    2.124   0      0.000    2.124
390208.0 376128.0 18544.2  0.0   6923200.0 5175848.8 15379136.0  678199.8  48320.0 48301.5     18    2.174   0      0.000    2.174
356224.0 376128.0  0.0   47552.4 6923200.0 1136054.0 15379136.0  696088.0  48320.0 48302.3     19    2.239   0      0.000    2.239
356224.0 376128.0  0.0   47552.4 6923200.0 4315305.9 15379136.0  696088.0  48320.0 48302.3     19    2.239   0      0.000    2.239
356224.0 333632.0 67488.2  0.0   6999680.0 489730.6 15379136.0  738888.3  48320.0 48302.4     20    2.342   0      0.000    2.342
311168.0 289344.0 88692.7 56396.5 7089024.0 7089024.0 15379136.0  931709.1  48320.0 48307.9     23    2.589   0      0.000    2.589
274176.0 289344.0  0.0   57612.5 7089024.0 6206680.1 15379136.0  955157.1  48320.0 48308.2     23    2.702   0      0.000    2.702
274176.0 264512.0 29760.0  0.0   7150848.0 5421215.6 15379136.0 1012745.6  48320.0 48310.4     24    2.836   0      0.000    2.836
252352.0 264512.0  0.0   41419.0 7150848.0 5204911.6 15379136.0 1042417.6  48320.0 48310.6     25    3.120   0      0.000    3.120
252352.0 237184.0 82053.0  0.0   7200000.0 4300643.6 15379136.0 1078119.1  48320.0 48310.6     26    3.308   0      0.000    3.308
227392.0 237184.0  0.0   38400.0 7200000.0 2921033.8 15379136.0 1160108.2  48320.0 48313.4     27    3.414   0      0.000    3.414
227392.0 213568.0 62163.7  0.0   7248576.0 5462737.0 15379136.0 1198468.2  48320.0 48313.7     28    3.513   0      0.000    3.513
206720.0 204032.0 224.0   0.0   7278784.0 1380283.5 15379136.0 1299251.0  48320.0 48316.5     30    3.644   0      0.000    3.644
199872.0 204032.0  0.0   224.0  7278784.0 5228177.3 15379136.0 1299307.0  48320.0 48316.9     31    3.656   0      0.000    3.656
199872.0 194432.0 192.0   0.0   7295232.0 5325158.3 15379136.0 1299363.0  48320.0 48319.7     32    3.668   0      0.000    3.668
193856.0 194432.0  0.0   86427.5 7295232.0 1979211.1 15379136.0 1299403.0  49088.0 49041.0     33    3.692   0      0.000    3.692
193856.0 231808.0 193367.5  0.0   7225920.0 4676287.6 15379136.0 1385235.9  49280.0 49147.6     34    3.746   0      0.000    3.746
