 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 6042.4      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 346034.2 15379136.0    0.0     21248.0 14041.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3576074.2 15379136.0    0.0     30080.0 29292.1      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5767232.0 15379136.0    0.0     41216.0 40691.8      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   90795.8 5767232.0 2887828.8 15379136.0    0.0     48128.0 48082.9      1    0.049   0      0.000    0.049
961152.0 961152.0 110234.5  0.0   5767232.0 1312338.1 15379136.0    0.0     48128.0 48113.2      2    0.117   0      0.000    0.117
961152.0 961152.0 110234.5  0.0   5767232.0 5522171.3 15379136.0    0.0     48128.0 48127.6      2    0.117   0      0.000    0.117
961152.0 961152.0  0.0   163599.1 5767232.0 4334246.1 15379136.0    0.0     48320.0 48158.8      3    0.235   0      0.000    0.235
961152.0 961152.0 212655.1  0.0   5767232.0 3239283.9 15379136.0    0.0     48320.0 48161.6      4    0.387   0      0.000    0.387
306624.0 961152.0  0.0   277071.1 5767232.0 1847127.0 15379136.0    0.0     48320.0 48161.7      5    0.591   0      0.000    0.591
306624.0 961152.0 297967.1 277071.1 5767232.0 5767232.0 15379136.0    0.0     48320.0 48163.9      6    0.591   0      0.000    0.591
306624.0 372800.0 306607.1  0.0   6943936.0 4801713.5 15379136.0  20160.0   48320.0 48164.6      6    0.833   0      0.000    0.833
390080.0 279744.0  0.0   279712.2 6943936.0 2253929.6 15379136.0  106998.3  48320.0 48245.5      7    1.118   0      0.000    1.118
390080.0 279744.0  0.0   279712.2 6943936.0 6716329.1 15379136.0  106998.3  48320.0 48247.9      7    1.118   0      0.000    1.118
390080.0 401984.0 284864.2  0.0   6885568.0 5427318.7 15379136.0  188374.3  48512.0 48345.5      8    1.437   0      0.000    1.437
396672.0 401984.0  0.0   254113.8 6885568.0 6431202.7 15379136.0  282422.3  48512.0 48375.1      9    1.757   0      0.000    1.757
407232.0 31360.0  0.0   31310.7 6897984.0 733572.2 15379136.0  605060.5  48512.0 48378.2     11    2.166   0      0.000    2.166
407232.0 416384.0 13916.5  0.0   6856768.0 3451732.8 15379136.0  653073.8  48512.0 48384.8     12    2.247   0      0.000    2.247
422144.0 256.0   0.0   256.0  6856768.0 6152943.5 15379136.0  666814.3  48512.0 48385.2     13    2.281   0      0.000    2.281
414976.0 418688.0  0.0   5280.1 6848704.0 2027911.9 15379136.0  689522.8  48512.0 48436.0     15    2.344   0      0.000    2.344
414976.0 407104.0 9568.2  0.0   6867456.0 4562655.4 15379136.0  693568.5  48512.0 48451.1     16    2.371   0      0.000    2.371
393920.0 378304.0 33536.3  0.0   6917312.0   0.0    15379136.0  721560.7  48512.0 48478.6     18    2.485   0      0.000    2.485
361408.0 378304.0  0.0   38496.1 6917312.0 978186.3 15379136.0  751137.0  48512.0 48480.1     19    2.635   0      0.000    2.635
361408.0 340096.0 64224.2  0.0   6988032.0 218994.1 15379136.0  786481.0  48512.0 48492.5     20    2.736   0      0.000    2.736
361408.0 340096.0 64224.2  0.0   6988032.0 5073679.8 15379136.0  786481.0  48512.0 48493.3     20    2.736   0      0.000    2.736
319552.0 340096.0  0.0   67364.9 6988032.0 3671174.5 15379136.0  848345.2  48512.0 48493.6     21    2.870   0      0.000    2.870
319552.0 299776.0 71136.1  0.0   7070208.0 2661008.3 15379136.0  913646.1  48512.0 48493.9     22    3.005   0      0.000    3.005
285056.0 299776.0  0.0   50080.0 7070208.0 1717368.4 15379136.0  984814.2  48512.0 48496.3     23    3.179   0      0.000    3.179
285056.0 299776.0 73533.8 50080.0 7070208.0 7070208.0 15379136.0 1027982.3  48512.0 48497.4     24    3.179   0      0.000    3.179
285056.0 265856.0 78941.8 22369.5 7138624.0 7138624.0 15379136.0 1041445.1  48512.0 48497.4     25    3.585   0      0.000    3.585
251392.0 237696.0 62223.0  0.0   7200448.0 371247.4 15379136.0 1167254.7  48512.0 48497.6     26    3.906   0      0.000    3.906
225216.0 237696.0  0.0   59514.5 7200448.0 2259647.6 15379136.0 1218070.2  48512.0 48498.4     27    4.075   0      0.000    4.075
225216.0 218944.0 27456.0  0.0   7245376.0 3952013.6 15379136.0 1283120.3  48512.0 48499.7     28    4.241   0      0.000    4.241
209024.0 218944.0  0.0   44963.6 7245376.0 5947550.2 15379136.0 1310456.3  48512.0 48499.9     29    4.319   0      0.000    4.319
203136.0 206912.0  0.0   224.0  7273600.0 1385248.8 15379136.0 1360830.2  48512.0 48504.6     31    4.382   0      0.000    4.382
203136.0 198016.0 320.0   0.0   7288384.0 2778889.1 15379136.0 1360894.2  48512.0 48508.3     32    4.399   0      0.000    4.399
203136.0 198016.0 320.0   0.0   7288384.0 6991065.7 15379136.0 1360894.2  48512.0 48510.8     32    4.399   0      0.000    4.399
203136.0 198016.0 320.0   0.0   7288384.0 7000264.9 15379136.0 1360894.2  48512.0 48511.0     32    4.399   0      0.000    4.399
203136.0 198016.0 320.0   0.0   7288384.0 7000283.1 15379136.0 1360894.2  48512.0 48511.9     32    4.399   0      0.000    4.399
203136.0 198016.0 320.0   0.0   7288384.0 7000305.6 15379136.0 1360894.2  48704.0 48512.7     32    4.399   0      0.000    4.399
203136.0 198016.0 320.0   0.0   7288384.0 7000323.9 15379136.0 1360894.2  48704.0 48513.1     32    4.399   0      0.000    4.399
188480.0 198016.0  0.0   20502.9 7288384.0 4158041.9 15379136.0 1360974.2  49280.0 49143.2     33    4.417   0      0.000    4.417
188480.0 225792.0 186651.1  0.0   7237952.0 3024513.6 15379136.0 1553361.8  49280.0 49190.3     34    4.496   0      0.000    4.496
226304.0 225280.0  0.0   225253.6 7237952.0 679344.8 15379136.0 1768836.9  49280.0 49251.9     35    4.586   0      0.000    4.586
226304.0 225280.0  0.0   225253.6 7237952.0 5986170.0 15379136.0 1768836.9  49280.0 49253.6     35    4.586   0      0.000    4.586
226304.0 267328.0 123099.7  0.0   7154880.0 5767553.7 15379136.0 2070998.3  49280.0 49254.3     36    4.667   0      0.000    4.667
261440.0 246976.0 86402.8  0.0   7181120.0 273836.1 15379136.0 2194022.1  49280.0 49255.0     38    4.734   0      0.000    4.734
254912.0 246976.0  0.0   143842.8 7181120.0 554604.7 15379136.0 2235243.5  49280.0 49265.8     39    4.774   0      0.000    4.774
254912.0 248320.0 20733.6  0.0   7186304.0 996563.4 15379136.0 2317257.5  49280.0 49266.7     40    4.810   0      0.000    4.810
244224.0 248320.0  0.0   256.0  7186304.0 2804464.2 15379136.0 2337787.2  49280.0 49266.7     41    4.833   0      0.000    4.833
244224.0 231424.0 81969.2  0.0   7213888.0 4324555.5 15379136.0 2337879.2  49280.0 49267.9     42    4.862   0      0.000    4.862
227264.0 231424.0  0.0   448.0  7213888.0 6053308.1 15379136.0 2439805.3  49280.0 49268.0     43    4.894   0      0.000    4.894
227264.0 218112.0 20747.8  0.0   7244160.0 5695244.3 15379136.0 2440059.0  49280.0 49273.3     44    4.913   0      0.000    4.913
212224.0 218112.0  0.0   320.0  7244160.0 2211146.7 15379136.0 2460646.9  49280.0 49273.5     45    4.937   0      0.000    4.937
212224.0 218112.0  0.0   320.0  7244160.0 4071687.1 15379136.0 2460646.9  49280.0 49273.9     45    4.937   0      0.000    4.937
212224.0 218112.0  0.0   320.0  7244160.0 4494648.9 15379136.0 2460646.9  49280.0 49274.2     45    4.937   0      0.000    4.937
212224.0 218112.0  0.0   320.0  7244160.0 4494657.4 15379136.0 2460646.9  49280.0 49274.2     45    4.937   0      0.000    4.937
212224.0 218112.0  0.0   320.0  7244160.0 4496376.1 15379136.0 2460646.9  49280.0 49274.4     45    4.937   0      0.000    4.937
212224.0 218112.0  0.0   320.0  7244160.0 4496386.8 15379136.0 2460646.9  49280.0 49274.6     45    4.937   0      0.000    4.937
212224.0 218112.0  0.0   320.0  7244160.0 4496395.6 15379136.0 2460646.9  49280.0 49274.6     45    4.937   0      0.000    4.937
212224.0 218112.0  0.0   320.0  7244160.0 4496406.4 15379136.0 2460646.9  49280.0 49275.3     45    4.937   0      0.000    4.937
212224.0 218112.0  0.0   320.0  7244160.0 4496417.4 15379136.0 2460646.9  49280.0 49275.7     45    4.937   0      0.000    4.937
212224.0 218112.0  0.0   320.0  7244160.0 4496447.8 15379136.0 2460646.9  49280.0 49276.6     45    4.937   0      0.000    4.937
212224.0 218112.0  0.0   320.0  7244160.0 4545002.9 15379136.0 2460646.9  49472.0 49282.6     45    4.937   0      0.000    4.937
212224.0 218112.0  0.0   320.0  7244160.0 4545013.8 15379136.0 2460646.9  49472.0 49282.6     45    4.937   0      0.000    4.937
212224.0 218112.0  0.0   320.0  7244160.0 4545024.4 15379136.0 2460646.9  49472.0 49282.6     45    4.937   0      0.000    4.937
212224.0 218112.0  0.0   320.0  7244160.0 4545035.1 15379136.0 2460646.9  49472.0 49282.6     45    4.937   0      0.000    4.937
212224.0 218112.0  0.0   320.0  7244160.0 5256684.5 15379136.0 2460646.9  49472.0 49426.8     45    4.937   0      0.000    4.937
212224.0 252608.0 205304.1  0.0   7184320.0 451175.7 15379136.0 2565097.2  49664.0 49606.3     46    5.005   0      0.000    5.005
212224.0 252608.0 205304.1  0.0   7184320.0 6607257.3 15379136.0 2565097.2  49664.0 49607.7     46    5.005   0      0.000    5.005
275392.0 229824.0  0.0   229803.3 7184320.0 6350892.9 15379136.0 2672471.3  49664.0 49609.5     47    5.090   0      0.000    5.090
275392.0 292736.0 138026.2  0.0   7104064.0 5977731.1 15379136.0 2839970.4  49664.0 49611.2     48    5.187   0      0.000    5.187
278784.0 292736.0 77319.6 52589.8 7104064.0 7104064.0 15379136.0 3038734.2  49664.0 49611.2     50    5.276   0      0.000    5.276
258304.0 267200.0  0.0   112620.1 7143552.0 402474.3 15379136.0 3138863.8  49664.0 49611.2     51    5.599   0      0.000    5.599
258304.0 251648.0 31392.0  0.0   7179584.0 1601033.0 15379136.0 3293017.9  49664.0 49612.0     52    5.735   0      0.000    5.735
237120.0 251648.0  0.0   72005.4 7179584.0 2240558.9 15379136.0 3324354.0  49664.0 49612.0     53    6.035   0      0.000    6.035
237120.0 230272.0 33632.0  0.0   7222144.0 3123237.4 15379136.0 3375764.7  49664.0 49612.0     54    6.281   0      0.000    6.281
217152.0 230272.0  0.0   66181.4 7222144.0 3991599.7 15379136.0 3409308.7  49664.0 49612.0     55    6.561   0      0.000    6.561
217152.0 206464.0 58176.1  0.0   7265920.0 4727390.4 15379136.0 3434204.7  49664.0 49612.0     56    6.919   0      0.000    6.919
197632.0 206464.0  0.0   50176.0 7265920.0 6271379.9 15379136.0 3492348.8  49664.0 49612.2     57    7.172   0      0.000    7.172
197632.0 191808.0 33760.0  0.0   7300096.0 6223027.2 15379136.0 3542468.9  49664.0 49612.4     58    7.615   0      0.000    7.615
216000.0 167616.0  0.0   167607.0 7300096.0 5486873.2 15379136.0 3567900.9  49664.0 49617.3     59    7.977   0      0.000    7.977
216000.0 239104.0 178231.5  0.0   7211328.0 4087533.7 15379136.0 3620868.4  49664.0 49620.2     60    8.244   0      0.000    8.244
241984.0 137280.0  0.0   137263.8 7211328.0 3406478.1 15379136.0 3741625.6  49664.0 49620.8     61    8.366   0      0.000    8.366
241984.0 236096.0 117740.6  0.0   7211456.0 3692827.2 15379136.0 3897779.8  49664.0 49623.5     62    8.529   0      0.000    8.529
240704.0 236096.0  0.0   146241.2 7211456.0 3766376.7 15379136.0 4012336.5  49664.0 49624.6     63    8.696   0      0.000    8.696
240704.0 244608.0 149372.8  0.0   7200320.0 3843322.7 15379136.0 4066689.2  49664.0 49624.6     64    8.818   0      0.000    8.818
240640.0 244608.0  0.0   47663.4 7200320.0 4500789.2 15379136.0 4132346.4  49664.0 49624.6     65    8.909   0      0.000    8.909
240640.0 237504.0 35648.0  0.0   7211392.0 5283903.7 15379136.0 4178913.8  49664.0 49624.6     66    9.003   0      0.000    9.003
231936.0 237504.0  0.0   41792.0 7211392.0 5681304.1 15379136.0 4212409.8  49664.0 49625.2     67    9.178   0      0.000    9.178
231936.0 226944.0 33568.0  0.0   7230656.0 6244577.8 15379136.0 4254161.9  49664.0 49625.2     68    9.326   0      0.000    9.326
216704.0 226944.0  0.0   58367.3 7230656.0 4202382.7 15379136.0 4287665.9  49856.0 49709.8     69    9.576   0      0.000    9.576
216704.0 208768.0 47000.9  0.0   7264064.0 1166169.6 15379136.0 4340462.9  49856.0 49710.3     70    9.682   0      0.000    9.682
216704.0 208768.0 47000.9  0.0   7264064.0 2789347.4 15379136.0 4340462.9  49856.0 49710.3     70    9.682   0      0.000    9.682
216704.0 208768.0 47000.9  0.0   7264064.0 2789370.2 15379136.0 4340462.9  49856.0 49710.3     70    9.682   0      0.000    9.682
216704.0 208768.0 47000.9  0.0   7264064.0 2789389.0 15379136.0 4340462.9  49856.0 49710.3     70    9.682   0      0.000    9.682
216704.0 208768.0 47000.9  0.0   7264064.0 2789412.3 15379136.0 4340462.9  49856.0 49710.3     70    9.682   0      0.000    9.682
216704.0 208768.0 47000.9  0.0   7264064.0 2789455.5 15379136.0 4340462.9  49856.0 49710.3     70    9.682   0      0.000    9.682
216704.0 208768.0 47000.9  0.0   7264064.0 6801703.5 15379136.0 4340462.9  49856.0 49786.1     70    9.682   0      0.000    9.682
216704.0 208768.0  0.0   208742.7 7264064.0 5472786.7 15379136.0 4442182.7  49856.0 49786.6     71    9.804   0      0.000    9.804
216704.0 302272.0 204439.6  0.0   7084992.0 5803919.5 15379136.0 4517788.2  49856.0 49791.3     72    9.883   0      0.000    9.883
293376.0 293952.0 157313.4  0.0   7101632.0 214769.6 15379136.0 4792743.3  49856.0 49792.1     74   10.018   0      0.000   10.018
289856.0 293952.0  0.0   25969.4 7101632.0 1326816.1 15379136.0 4893198.8  49856.0 49792.5     75   10.069   0      0.000   10.069
289856.0 277568.0 63248.9  0.0   7122112.0 1892887.3 15379136.0 4918980.3  49856.0 49792.7     76   10.118   0      0.000   10.118
265856.0 277568.0  0.0   114643.9 7122112.0 1789040.2 15379136.0 4969651.0  49856.0 49792.7     77   10.176   0      0.000   10.176
265856.0 289152.0 207402.8  0.0   7111232.0 1613977.9 15379136.0 4990574.4  50048.0 49867.8     78   10.244   0      0.000   10.244
282944.0 289152.0  0.0   41377.2 7111232.0 1519080.4 15379136.0 5136191.8  50048.0 49868.7     79   10.305   0      0.000   10.305
282944.0 267072.0 91307.5  0.0   7139520.0 3010652.7 15379136.0 5177325.2  50048.0 49874.4     80   10.360   0      0.000   10.360
255616.0 267072.0  0.0   72618.9 7139520.0 4441692.3 15379136.0 5227380.4  50048.0 49874.4     81   10.416   0      0.000   10.416
255616.0 256768.0 352.0   0.0   7176000.0 7036676.9 15379136.0 5299735.3  50048.0 49874.8     83   10.466   0      0.000   10.466
255168.0 251328.0 320.0   0.0   7183040.0 2210343.5 15379136.0 5299855.3  50048.0 49875.2     84   10.555   0      0.000   10.555
245696.0 251328.0  0.0   320.0  7183040.0 2096019.4 15379136.0 5299911.3  50048.0 49875.2     85   10.608   0      0.000   10.608
245696.0 251328.0  0.0   320.0  7183040.0 5330506.1 15379136.0 5299911.3  50048.0 49875.5     85   10.608   0      0.000   10.608
245696.0 251328.0  0.0   320.0  7183040.0 5499752.2 15379136.0 5299911.3  50048.0 49875.5     85   10.608   0      0.000   10.608
245696.0 251328.0  0.0   320.0  7183040.0 5499775.3 15379136.0 5299911.3  50048.0 49876.0     85   10.608   0      0.000   10.608
245696.0 251328.0  0.0   320.0  7183040.0 5499794.0 15379136.0 5299911.3  50048.0 49876.0     85   10.608   0      0.000   10.608
245696.0 251328.0  0.0   320.0  7183040.0 6986386.8 15379136.0 5299911.3  50048.0 49880.0     85   10.608   0      0.000   10.608
