 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 2682.3      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 13731.3      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 13733.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 13733.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 13733.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 13733.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 13733.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 13733.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 13733.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 346034.2 15379136.0    0.0     21248.0 18723.8      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5652662.8 15379136.0    0.0     36800.0 36643.7      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   74272.3 5767232.0 1177984.0 15379136.0    0.0     48320.0 48147.3      1    0.053   0      0.000    0.053
961152.0 961152.0  0.0   74272.3 5767232.0 4293584.8 15379136.0    0.0     48512.0 48360.6      1    0.053   0      0.000    0.053
961152.0 961152.0 94118.1  0.0   5767232.0 3951393.0 15379136.0    0.0     48512.0 48402.4      2    0.103   0      0.000    0.103
961152.0 961152.0  0.0   145481.3 5767232.0 3365044.0 15379136.0    0.0     48512.0 48405.2      3    0.184   0      0.000    0.184
961152.0 961152.0 197449.3  0.0   5767232.0 2652887.8 15379136.0    0.0     48512.0 48435.2      4    0.299   0      0.000    0.299
289344.0 961152.0  0.0   259183.2 5767232.0 1746481.3 15379136.0    0.0     48704.0 48515.8      5    0.445   0      0.000    0.445
289344.0 354624.0 289337.2  0.0   6980288.0 1138070.4 15379136.0  19008.0   48704.0 48516.7      6    0.632   0      0.000    0.632
383296.0 284992.0  0.0   284928.2 6980288.0 2336842.8 15379136.0  91192.3   48704.0 48521.9      7    0.832   0      0.000    0.832
383296.0 284992.0 243872.2 284928.2 6980288.0 6980288.0 15379136.0  126208.3  48704.0 48522.7      8    0.832   0      0.000    0.832
398976.0 257920.0  0.0   257912.0 6892352.0 821043.8 15379136.0  263936.3  48704.0 48634.1      9    1.276   0      0.000    1.276
398976.0 395776.0 117356.9  0.0   6894784.0 5992859.5 15379136.0  440072.4  48704.0 48660.7     10    1.472   0      0.000    1.472
402752.0 410240.0 13106.1  0.0   6869056.0 6140643.8 15379136.0  629952.4  48704.0 48666.4     12    1.650   0      0.000    1.650
407360.0 412480.0  0.0   5248.1 6864384.0 983490.4 15379136.0  653867.5  48896.0 48722.5     15    1.709   0      0.000    1.709
386752.0 398080.0  0.0   11488.0 6884096.0 2159264.1 15379136.0  668385.4  48896.0 48738.0     17    1.766   0      0.000    1.766
