 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 4266.4      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 230689.4 15379136.0    0.0     21248.0 13688.2      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3460729.2 15379136.0    0.0     28736.0 28495.4      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   82654.5 5767232.0 1230737.8 15379136.0    0.0     40448.0 40126.3      1    0.042   0      0.000    0.042
961152.0 961152.0  0.0   82654.5 5767232.0 1419368.1 15379136.0    0.0     48320.0 48168.8      1    0.042   0      0.000    0.042
961152.0 961152.0 130727.1  0.0   5767232.0   0.0    15379136.0    0.0     48320.0 48195.8      2    0.110   0      0.000    0.110
961152.0 961152.0 130727.1  0.0   5767232.0 4397723.1 15379136.0    0.0     48320.0 48216.0      2    0.110   0      0.000    0.110
961152.0 961152.0  0.0   179743.2 5767232.0 4410442.6 15379136.0    0.0     48320.0 48249.5      3    0.210   0      0.000    0.210
961152.0 961152.0 230591.2  0.0   5767232.0 3897144.3 15379136.0    0.0     48320.0 48250.8      4    0.342   0      0.000    0.342
336448.0 961152.0  0.0   291327.2 5767232.0 2294693.1 15379136.0    0.0     48320.0 48251.7      5    0.525   0      0.000    0.525
336448.0 400320.0 336447.2  0.0   6888896.0 1329430.6 15379136.0   3482.0   48512.0 48333.8      6    0.727   0      0.000    0.727
336448.0 400320.0 336447.2  0.0   6888896.0 6491662.1 15379136.0   3482.0   48512.0 48335.8      6    0.727   0      0.000    0.727
422464.0 305920.0  0.0   305888.2 6888896.0 4355705.6 15379136.0  115436.3  48512.0 48338.0      7    0.989   0      0.000    0.989
422464.0 428160.0 289820.8  0.0   6833216.0 2941001.4 15379136.0  204340.3  48512.0 48436.8      8    1.281   0      0.000    1.281
419008.0 414976.0 147551.8  0.0   6855552.0 3889178.3 15379136.0  464294.8  48512.0 48471.4     10    1.783   0      0.000    1.783
426240.0 46784.0  0.0   46775.7 6855552.0 6496251.0 15379136.0  611927.9  48512.0 48474.0     11    1.941   0      0.000    1.941
443328.0 11584.0  0.0   11539.1 6811968.0 2460178.5 15379136.0  679483.9  48704.0 48523.7     13    2.072   0      0.000    2.072
443328.0 443776.0 5504.1  0.0   6801984.0 5625311.4 15379136.0  690735.0  48704.0 48524.3     14    2.098   0      0.000    2.098
439488.0 429440.0 20012.5  0.0   6820608.0 2182284.0 15379136.0  699684.7  48704.0 48524.8     16    2.153   0      0.000    2.153
419200.0 429440.0  0.0   8416.2 6820608.0 5221003.2 15379136.0  719569.3  48704.0 48567.8     17    2.192   0      0.000    2.192
419200.0 404032.0 24608.2  0.0   6866304.0 5843788.0 15379136.0  727215.1  48704.0 48585.4     18    2.281   0      0.000    2.281
384320.0 404032.0  0.0   45856.2 6866304.0 6108046.5 15379136.0  749143.2  48704.0 48591.7     19    2.359   0      0.000    2.359
384320.0 364160.0 50944.2  0.0   6941056.0 5483491.9 15379136.0  792855.4  48704.0 48592.3     20    2.455   0      0.000    2.455
341440.0 364160.0  0.0   69769.5 6941056.0 4930866.2 15379136.0  836055.5  48704.0 48592.5     21    2.566   0      0.000    2.566
341440.0 324160.0 47424.0  0.0   7023936.0 4066810.9 15379136.0  909730.4  48704.0 48593.6     22    2.684   0      0.000    2.684
302976.0 324160.0  0.0   73337.5 7023936.0 3771791.2 15379136.0  954050.4  48704.0 48593.9     23    2.921   0      0.000    2.921
302976.0 286720.0 54400.1  0.0   7099840.0 2627540.4 15379136.0 1027371.9  48704.0 48595.2     24    3.028   0      0.000    3.028
271360.0 286720.0  0.0   53664.1 7099840.0 1265440.8 15379136.0 1081681.6  48704.0 48595.8     25    3.358   0      0.000    3.358
245184.0 237056.0 35358.1  0.0   7207296.0 2037363.1 15379136.0 1315369.4  48704.0 48604.3     28    3.889   0      0.000    3.889
229312.0 237056.0  0.0   30270.2 7207296.0 4734487.2 15379136.0 1361693.6  48704.0 48604.6     29    3.957   0      0.000    3.957
218944.0 224000.0  0.0   5056.0 7236224.0 231078.6 15379136.0 1404851.8  48704.0 48606.1     31    4.070   0      0.000    4.070
218944.0 211200.0 14008.9  0.0   7259392.0 3048612.2 15379136.0 1409763.8  48704.0 48606.8     32    4.125   0      0.000    4.125
205248.0 211200.0  0.0   224.0  7259392.0 5397387.1 15379136.0 1423628.7  48704.0 48613.5     33    4.159   0      0.000    4.159
205248.0 198400.0 320.0   0.0   7285888.0 1867202.3 15379136.0 1423692.7  48704.0 48616.9     34    4.178   0      0.000    4.178
205248.0 198400.0 320.0   0.0   7285888.0 3331156.4 15379136.0 1423692.7  48704.0 48617.1     34    4.178   0      0.000    4.178
205248.0 198400.0 320.0   0.0   7285888.0 3331180.7 15379136.0 1423692.7  48704.0 48617.4     34    4.178   0      0.000    4.178
205248.0 198400.0 320.0   0.0   7285888.0 3342153.5 15379136.0 1423692.7  48704.0 48617.4     34    4.178   0      0.000    4.178
