procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1 104452 31572856   1960 120740    0    1    30    13    0    0  0  0 99  0  0
 0  1 104452 31518860   2124 133188    0    0  5382   154 1407 1758  3  1 84 12  0
 2  0 104452 31461504   2392 144796    0    0  5782     0 1714 1740  5  1 88  7  0
 3  0 104452 31371496   2428 156664    0    0  6336   102 2345 2191  7  1 88  4  0
 1  1 104452 31174488   2472 169288    0    0  5820    28 2995 3784  8  1 86  5  0
 0 14 104452 30949056   2648 181748    0    0  6444     0 3689 5185  8  1 69 21  0
 2 12 104452 29398272   2720 230660    0    0 24682   312 6282 3261 34  3 39 23  0
 4 14 104452 26015460   2872 347396    0    0 57820     0 4586 2152 21  6 39 34  0
 0 12 104452 25488900   2988 458980    0    0 55800   142 3522 1927 17  2 43 38  0
 1 12 104452 25126556   3096 556164    0    0 48736    20 4226 1958 21  4 49 26  0
 1 12 104452 25011972   3208 669676    0    0 57032     0 3631 1934 18  2 54 26  0
 2 12 104452 24660836   3308 774372    0    0 52786   132 4603 2067 24  4 36 37  0
 3 13 104452 24400756   3416 881388    0    0 53302     6 4813 1954 25  4 38 32  0
 2 16 104452 23794336   3692 1165152    0    0 141346     4 10925 5031 22  4 41 34  0
 2 15 104452 22671132   3808 1272376    0    0 53540     0 5525 1936 28  7 37 27  0
 4 15 104452 22546264   3920 1396704    0    0 62112     0 3878 1976 20  2 42 37  0
 3 15 104452 22223964   4052 1510848    0    0 57306     0 5245 2050 29  4 28 39  0
 3 17 104452 22118492   4184 1615728    0    0 52178     0 3294 1834 17  1 39 43  0
 6 12 104452 21901620   4292 1714388    0    0 49312     0 5225 2143 30  3 33 34  0
10  0 104452 21613408   4368 1801328    0    0 43572    66 9668 3375 58  6 16 20  0
12  0 104452 21412860   4396 1805404    0    0  1688     0 15590 4010 85  9  6  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0 104452 21395724   4420 1809804    0    0  2188     0 13859 4114 91  8  1  0  0
12  0 104452 21379716   4472 1826368    0    0  8414    54 13800 4687 91  8  1  0  0
10  5 104452 21310784   4564 1884956    0    0 29766     0 13182 4972 86  8  4  3  0
 2 11 104452 21237624   4692 1948192    0    0 31232     0 4892 2708 23  2 35 39  0
 0 14 104452 21133732   4828 2051064    0    0 51116    70 3405 1966 17  1 48 34  0
 1 13 104452 20265268   5524 2729188    0    0 338618    42 24886 12916 19  2 43 36  0
 3 12 104452 20154800   5636 2839724    0    0 55108    48 3645 1993 18  1 52 29  0
 8  3 104452 19652832   5908 3114352    0    0 136958    38 21011 7392 44  4 24 28  0
10  0 104452 19538500   5956 3165368    0    0 25366    92 10734 3707 70  6 13 11  0
 8  0 104452 19450560   5960 3167424    0    0  1026     0 9908 3371 67  5 27  0  0
 4  0 104452 19446864   5968 3169480    0    0  1024    44 7410 2895 50  3 47  0  0
 0  0 104452 19444012   5972 3171524    0    0  1090     0 2908 1623 17  1 82  0  0
 8  0 104452 19052812   6004 3185436    0    0  6836     0 8586 3223 49  3 43  5  0
 7  1 104452 18937432   6032 3192344    0    0  3978    90 24088 4841 56  6 38  1  0
 8  4 104452 18704708   6124 3286084    0    0 46342     0 16457 6175 52  5 25 18  0
 8  9 104452 18374660   6248 3393464    0    0 53630    44 14413 5949 59  5 16 20  0
 4  9 104452 17986140   6496 3640532    0    0 123874    26 20182 7789 51  4 12 34  0
 4 10 104452 17853744   6616 3765668    0    0 61996     2 4567 2257 24  2 45 29  0
 7  9 104452 17735260   6736 3883604    0    0 59234    22 6252 2751 38  2 27 33  0
 8  8 104452 17479552   6920 4063732    0    0 89698    32 16774 5205 56  4 12 29  0
 5  6 104452 17357756   7028 4185060    0    0 60576    14 14351 3317 72  6  8 14  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 104452 17220796   7144 4304804    0    0 59580    22 8381 3194 27  2 54 17  0
 0  0 104452 17214016   7160 4311964    0    0  3528     0 1540 1314  5  1 94  0  0
 0  0 104452 17214052   7168 4312084    0    0     0    88  709 1033  0  0 99  0  0
 0  0 104452 17214204   7168 4312088    0    0     0     0  677 1001  0  0 100  0  0
 0  0 104452 17213996   7168 4312096    0    0     0     0  666 1015  0  0 100  0  0
 1  0 104452 17214132   7176 4312084    0    0     0    36  675 1016  0  0 99  0  0
 0  0 104452 17214480   7176 4312084    0    0     0     0  614  996  0  0 100  0  0
 0  0 104452 17214572   7184 4312056    0    0     0    38  621 1029  0  0 99  0  0
 0  0 104452 17214404   7184 4312064    0    0     0     0  620  994  0  0 100  0  0
 0  0 104452 17214952   7184 4312044    0    0     0     0  639 1009  0  0 100  0  0
 0  0 104452 17214908   7192 4312036    0    0     0    24  638 1033  0  0 99  0  0
 0  0 104452 17214800   7192 4312032    0    0     0     0  615 1000  0  0 100  0  0
 0  0 104452 17215076   7192 4312048    0    0     0     0  590 1000  0  0 100  0  0
 0  0 104452 17215404   7200 4312056    0    0     0    12  635 1018  0  0 99  0  0
 0  0 104452 17215348   7200 4312064    0    0     0     0  630  996  0  0 100  0  0
 6  0 104452 17191228   7208 4313892    0    0   922     8 8745 2840 24  1 74  0  0
 4  0 104452 17109660   7220 4314632    0    0   290    86 27708 7381 38  5 57  0  0
 4  0 104452 17039092   7220 4314652    0    0     0     0 22466 10547 32  4 64  0  0
 7  0 104452 17058568   7220 4314672    0    0     0     0 19526 10034 43  4 53  0  0
 8  0 104452 16886200   7252 4327960    0    0  6860    58 18448 7195 58  5 36  1  0
10  0 104452 16509492   7280 4354828    0    0 13390    36 14906 4988 75  7 18  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0 104452 16368292   7312 4383196    0    0 13964    30 13663 4032 83  6 11  0  0
