procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  4 9682940 17476368   3320  41248    0    1    33    13    0    0  0  0 99  0  0	
 0  1 9682932 17424080   4320  53508    0    0  6370    60 2126 2353  3  1 88  8  0	
 0  1 9682880 17375324   5036  59996   48    0  3756     0 2156 2011  5  1 89  6  0	
 0  1 9682848 17237848   5296  69864   16    0  5236     0 2914 3346  8  1 88  3  0	
 3  0 9682780 17075728   5464  79648   16    0  4800    98 3422 4470  8  1 87  5  0	
14  0 9682744 16830292   5796 105028   60    0 12720     0 4887 6014 12  2 71 16  0	
 5 13 9682732 12907916   5800 212932   16    0 54160    64 7622 2836 46  5 33 16  0	
 4 13 9682664 11372960   5804 342484   16    0 64976     2 5716 3146 25  4 40 31  0	
 5 12 9682648 10960564   5804 475284    0    0 66304     0 5913 2952 32  3 35 29  0	
 3 11 9682572 10782348   5812 593588   66    0 59010     8 4642 2773 24  2 41 33  0	
 4 12 9682560 10544572   5812 722040    0    0 64640     0 5802 2813 32  4 37 27  0	
 5 12 9682528 10257472   5812 856220   16    0 66640    18 6642 2940 37  4 30 28  0	
 3 12 9682476 9792720   5820 979856   32    0 62048    10 6474 2722 35  7 31 28  0	
 3 11 9682456 9373264   5820 1117720    0    0 68672     0 5305 2992 28  2 45 26  0	
 4 13 9682408 8544080   5952 1250060   32    0 66530     0 6984 2853 38  7 34 21  0	
 4 13 9682376 8189092   7132 1363680   32    0 57502     6 6207 2712 35  3 36 26  0	
 1 15 9682328 8062620   8716 1484800    0    0 60854   122 5095 2888 25  2 39 34  0	
 3  9 9682288 7773812   9392 1650404   16    0 83434    40 9506 4457 35  3 32 30  0	
12  0 9682240 7554076   9744 1674284   32    0 11930     4 11889 3723 76  7 13  4  0	
12  0 9682208 7350184   9748 1674784   32    0   414     0 19048 6140 87  8  4  0  0	
15  0 9682196 7350340   9756 1675044   16    0    16    14 13450 4055 93  6  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0 9682144 7347376   9764 1675700   16    0   340   238 13585 3997 93  6  0  0  0	
