 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 5715.2      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 346034.2 15379136.0    0.0     21248.0 14271.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3576074.1 15379136.0    0.0     32000.0 31874.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   90774.6 5767232.0 1135536.2 15379136.0    0.0     47552.0 47514.7      1    0.048   0      0.000    0.048
961152.0 961152.0  0.0   90774.6 5767232.0 3900621.3 15379136.0    0.0     48128.0 48031.2      1    0.048   0      0.000    0.048
961152.0 961152.0 126433.6  0.0   5767232.0 2255203.4 15379136.0    0.0     48128.0 48060.5      2    0.103   0      0.000    0.103
961152.0 961152.0  0.0   181183.1 5767232.0 1053517.9 15379136.0    0.0     48128.0 48073.1      3    0.200   0      0.000    0.200
961152.0 961152.0 48521.0 181183.1 5767232.0 5767232.0 15379136.0    0.0     48128.0 48105.4      4    0.200   0      0.000    0.200
961152.0 961152.0 229881.2  0.0   5767232.0 4821576.5 15379136.0    0.0     48128.0 48106.8      4    0.338   0      0.000    0.338
333056.0 961152.0  0.0   293247.1 5767232.0 3551841.3 15379136.0    0.0     48128.0 48107.5      5    0.521   0      0.000    0.521
333056.0 399744.0 333039.1  0.0   6890048.0 2072114.2 15379136.0  11744.0   48320.0 48189.2      6    0.743   0      0.000    0.743
333056.0 399744.0 333039.1  0.0   6890048.0 6515987.9 15379136.0  11744.0   48320.0 48190.7      6    0.743   0      0.000    0.743
412672.0 288832.0  0.0   288768.2 6890048.0 4366434.3 15379136.0  122152.5  48320.0 48191.9      7    0.983   0      0.000    0.983
412672.0 417728.0 285120.2  0.0   6854080.0 1784968.8 15379136.0  205592.5  48320.0 48201.4      8    1.257   0      0.000    1.257
