procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  4   4884 47515488   2468 121060    0    0    35    14    0    0  0  0 99  0  0
 1  0   4884 47444144   2724 141908    0    0 10194     0 1422 1370  6  0 88  6  0
 1  0   4884 47346588   2772 159236    0    0  8788     6 2204 2213 10  0 87  3  0
 2  0   4884 47116112   2820 176856    0    0  8654     8 2501 3894 10  1 87  3  0
 6 11   4884 44724968   3060 261448    0    0 42662     0 5227 6180 43  4 25 27  0
 2 12   4884 41569896   3180 383264    0    0 60676     8 1986 1880 27  6 37 29  0
10  9   4884 40976772   3320 528032    0    0 72344     0 2037 1928 29  1 45 24  0
 2 11   4884 40775636   3468 675936    0    0 73922   398 1954 1688 31  1 39 29  0
 5 10   4884 40515360   3616 829400    0    0 76388   100 2179 1844 35  1 45 19  0
 3 11   4884 40226780   3768 972152    0    0 71244     0 2231 1922 36  1 40 23  0
 1 12   4884 39747636   3904 1102796    0    0 65292     0 2320 2090 34  2 36 28  0
 4 12   4884 39605900   4036 1244688    0    0 70776    12 1876 1821 26  1 41 32  0
 4 11   4884 38491140   4184 1390832    0    0 73288     2 2355 1868 39  3 32 26  0
 3 10   4884 38133904   4316 1532268    0    0 70210     0 2271 1879 39  1 38 21  0
11  6   4884 38005060   4448 1659504    0    0 63750    22 2335 2231 37  1 39 23  0
12  0   4884 37618288   4544 1770984    0    0 55576    16 3706 2847 67  2 24  6  0
12  0   4884 37454088   4592 1797860    0    0 13210     0 4667 3845 86  4  9  0  0
12  0   4884 37374396   4592 1799904    0    0  1024     0 3660 3651 94  5  1  0  0
11  1   4884 37371948   4600 1802112    0    0  1134    30 3536 3584 94  5  1  0  0
12  0   4884 37307816   4672 1856432    0    0 27148     0 4167 3930 92  5  3  0  0
 8  7   4884 37159216   4856 1982688    0    0 63272    10 4525 4301 88  5  5  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 12   4884 36973712   5040 2140124    0    0 78456     0 3347 3131 45  2 28 25  0
 4 12   4884 36816356   5216 2296852    0    0 78480   108 2130 1879 30  1 38 31  0
 7 11   4884 36606664   5380 2465008    0    0 83822     8 2317 1740 39  1 30 31  0
 4 12   4884 36387424   5552 2617112    0    0 75810     0 2316 1905 36  1 35 28  0
 3 11   4884 36184780   5688 2762092    0    0 72316     0 2471 2045 34  1 41 23  0
 4 10   4884 36035368   5836 2911548    0    0 74546     0 2085 1924 29  1 44 26  0
 7  8   4884 35789840   5968 3047764    0    0 68442     0 2283 1919 35  1 36 27  0
 9  6   4884 35586604   6112 3194516    0    0 72904     0 3456 2849 69  3 13 16  0
13  4   4884 35286788   6264 3340428    0    0 73034    50 3833 2949 74  3 12 11  0
12  0   4884 35142236   6332 3409840    0    0 34416     8 3963 3152 88  4  7  1  0
12  0   4884 35053700   6376 3450056    0    0 20248     0 5245 3612 92  5  3  0  0
10  1   4884 34958796   6436 3493464    0    0 21682    12 4979 4058 85  5 10  0  0
 8  0   4884 34909592   6492 3540584    0    0 23428    12 4451 3668 66  3 31  1  0
 1  0   4884 34898456   6500 3549708    0    0  4484     0 4131 3311 48  1 51  0  0
 0  0   4884 34897860   6508 3550732    0    0   516    24 2296 1673  3  0 97  0  0
 0  0   4884 34900156   6508 3550728    0    0     0     0 1866 1396  0  0 100  0  0
 0  0   4884 34900916   6516 3550728    0    0     0    46  837 1081  0  0 100  0  0
 0  0   4884 34901056   6516 3550708    0    0     0     8  651  906  0  0 100  0  0
 0  0   4884 34901472   6516 3550704    0    0     0     0  655  946  0  0 100  0  0
 0  0   4884 34901728   6524 3550704    0    0     0    14  700  940  0  0 100  0  0
13  0   4884 34804980   6552 3555792    0    0  2508     0 3326 3713 54  2 44  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0   4884 34644144   6552 3555808    0    0     0     0 5159 2808 95  4  1  0  0
17  0   4884 34404080   6552 3556320    0    0   256     0 9359 3356 93  6  1  0  0
12  0   4884 34142852   6588 3589876    0    0 16914     0 9312 3711 92  6  2  0  0
13  0   4884 33884436   6692 3680388    0    0 45364   100 4901 4213 93  5  2  0  0
12  0   4884 33791436   6776 3771288    0    0 45358     0 4797 3902 94  4  2  0  0
14  0   4884 33639860   6868 3864824    0    0 46894     0 5757 3658 93  5  2  0  0
13  0   4884 33519888   6984 3976476    0    0 55610     0 6226 4091 94  5  1  0  0
12  0   4884 33365200   7104 4092532    0    0 57786    16 4116 3826 94  4  1  0  0
 5  0   4884 33259056   7188 4165244    0    0 36138    14 5721 4564 85  4 11  0  0
 5  0   4884 33034824   7300 4276716    0    0 55738     0 4770 4381 37  1 61  1  0
