 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 2530.2      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 11730.8      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 576788.7 15379136.0    0.0     21248.0 20564.2      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 4152862.8 15379136.0    0.0     33728.0 33652.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5767232.0 15379136.0    0.0     45440.0 45319.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   74312.4 5767232.0 1299409.6 15379136.0    0.0     47936.0 47811.2      1    0.054   0      0.000    0.054
961152.0 961152.0  0.0   74312.4 5767232.0 3120714.5 15379136.0    0.0     47936.0 47894.5      1    0.054   0      0.000    0.054
961152.0 961152.0  0.0   74312.4 5767232.0 4944327.9 15379136.0    0.0     47936.0 47898.6      1    0.054   0      0.000    0.054
961152.0 961152.0 92203.0  0.0   5767232.0 1532543.5 15379136.0    0.0     47936.0 47921.8      2    0.113   0      0.000    0.113
961152.0 961152.0 92203.0  0.0   5767232.0 3855825.8 15379136.0    0.0     48128.0 48016.3      2    0.113   0      0.000    0.113
961152.0 961152.0  0.0   144863.3 5767232.0 508720.3 15379136.0    0.0     48128.0 48017.1      3    0.212   0      0.000    0.212
961152.0 961152.0  0.0   144863.3 5767232.0 3009838.0 15379136.0    0.0     48320.0 48188.3      3    0.212   0      0.000    0.212
961152.0 961152.0  0.0   144863.3 5767232.0 5549839.3 15379136.0    0.0     48320.0 48205.2      3    0.212   0      0.000    0.212
961152.0 961152.0 215298.0  0.0   5767232.0 2384339.3 15379136.0    0.0     48320.0 48209.0      4    0.350   0      0.000    0.350
961152.0 961152.0 215298.0  0.0   5767232.0 4848835.8 15379136.0    0.0     48320.0 48212.6      4    0.350   0      0.000    0.350
300480.0 961152.0  0.0   262047.3 5767232.0 1841605.6 15379136.0    0.0     48320.0 48215.8      5    0.520   0      0.000    0.520
300480.0 961152.0  0.0   262047.3 5767232.0 3987741.7 15379136.0    0.0     48320.0 48217.1      5    0.520   0      0.000    0.520
300480.0 363776.0 300479.3  0.0   6961984.0 674540.2 15379136.0  10056.0   48320.0 48218.4      6    0.734   0      0.000    0.734
300480.0 363776.0 300479.3  0.0   6961984.0 3120024.6 15379136.0  10056.0   48320.0 48219.9      6    0.734   0      0.000    0.734
300480.0 363776.0 300479.3  0.0   6961984.0 5602979.8 15379136.0  10056.0   48320.0 48221.9      6    0.734   0      0.000    0.734
397760.0 300672.0  0.0   300640.2 6961984.0 1199287.9 15379136.0  88042.4   48320.0 48222.8      7    0.981   0      0.000    0.981
397760.0 300672.0  0.0   300640.2 6961984.0 4118519.7 15379136.0  88042.4   48320.0 48319.3      7    0.981   0      0.000    0.981
397760.0 400704.0 260194.9  0.0   6888128.0 1968766.9 15379136.0  183714.5  48512.0 48320.2      8    1.245   0      0.000    1.245
382848.0 400704.0  0.0   214723.8 6888128.0 1936627.8 15379136.0  275418.6  48512.0 48343.2      9    1.477   0      0.000    1.477
382848.0 388096.0 72517.2  0.0   6913344.0 4847257.3 15379136.0  433984.6  48512.0 48354.9     10    1.652   0      0.000    1.652
396672.0 399104.0 33679.7  0.0   6891328.0 767585.4 15379136.0  551584.7  48512.0 48410.7     12    1.832   0      0.000    1.832
397440.0 399104.0  0.0   33538.9 6891328.0 4392886.1 15379136.0  585102.1  48512.0 48413.8     13    1.918   0      0.000    1.918
397440.0 394624.0 20704.2  0.0   6897472.0 4992861.1 15379136.0  617856.9  48512.0 48435.4     14    2.104   0      0.000    2.104
