procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  6  46268 29521780   1848  94764    1    1    34    14    0    0  0  0 99  0  0
 1  1  46268 29448916   1972 112496    0    0  8528     0 2796 1203  5  0 87  8  0
 2  0  46268 29363452   2000 128864    0    0  8216     4 3345 1871  6  1 90  3  0
 0  1  46268 29187580   2072 144464    0    0  7516   120 4498 3234  7  1 89  3  0
17  0  46264 28927572   2220 171952    0    0 13706    36 5348 4416 24  1 53 22  0
 7  9  46264 24963708   2376 291372    0    0 60390     0 3273 1940 35 13 28 24  0
 5 13  46264 23630524   2504 417468    0    0 62962     0 2694 1584 28  4 31 38  0
 2 12  46264 23100948   2612 533000    0    0 57458     0 2662 1389 25  2 32 41  0
 2 13  46264 22977180   2728 656180    0    0 61492     0 2752 1611 23  0 36 41  0
 5 11  46264 22654340   2852 773784    0    0 59454    10 2920 1380 27  1 34 38  0
 4 11  46264 22368308   2972 905896    0    0 65492   254 2920 1619 31  1 27 41  0
 5 12  46264 21829004   3192 1123784    0    0 108804    88 5611 2659 31  1 24 44  0
15 11  46264 20673364   3348 1252936    0    0 64388     2 3318 1555 32  4 28 36  0
 3 11  46264 20538844   3472 1383800    0    0 65750     0 2805 1587 26  0 30 44  0
 4 10  46264 20168276   3632 1497244    0    0 56808     8 3102 1585 31  1 29 39  0
 5  6  46264 20035284   3768 1630096    0    0 65756     0 3311 1790 30  1 29 41  0
10  0  46264 19812860   3868 1737792    0    0 53738    40 3843 2361 47  1 40 11  0
12  0  46264 19578164   3916 1767044    0    0 14874    56 3270 2415 53  2 44  0  0
13  0  46264 19386716   3924 1779008    0    0  5764     0 3287 3135 69  2 28  0  0
11  0  46264 19354212   3940 1785448    0    0  3418     2 3025 3158 61  2 36  1  0
 4  0  46264 19290348   4020 1846728    0    0 30634     0 3851 3852 82  3 13  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  1  46264 19186980   4124 1932944    0    0 43086     0 3791 3517 67  2 27  4  0
 3 12  46264 19078548   4272 2022912    0    0 45156     0 4680 3435 47  1 31 21  0
 2 12  46264 18970764   4400 2114484    0    0 45272     0 2915 1736 19  0 34 46  0
 2 11  46264 18874204   4504 2210076    0    0 48180     0 2610 1400 18  0 41 41  0
10 11  46264 18740596   4592 2302512    0    0 45844    78 2297 1269 19  0 41 40  0
10  7  46264 18010884   5128 2833704    0    0 265194   122 13812 8126 25  1 25 49  0
 4  9  46264 17887924   5236 2935080    0    0 50734     0 3339 2025 37  1 31 31  0
 5  8  46264 17722860   5344 3041312    0    0 53022    36 3643 2466 40  1 32 27  0
 8  6  46264 17583012   5452 3151544    0    0 55250    48 3844 2283 51  1 24 24  0
 7  8  46264 17446508   5564 3253264    0    0 50746     0 3654 2136 43  1 29 27  0
 4  9  46264 17266108   5684 3350484    0    0 48596     4 3303 1956 36  1 30 32  0
 8  0  46264 17152900   5752 3425460    0    0 37130     0 4590 3038 61  2 23 15  0
 9  0  46264 17042540   5756 3428360    0    0  1154     0 3927 3258 65  2 33  0  0
 8  0  46264 17040636   5756 3429896    0    0   768     0 3483 3250 65  2 33  0  0
 3  0  46264 17037788   5760 3432456    0    0  1282     0 3135 2509 44  1 55  0  0
14  0  46264 16865468   5780 3437320    0    0  2756   114 3833 2889 31  1 67  0  0
14  0  46264 16676972   5784 3440088    0    0  1026     0 9721 3072 90  3  6  0  1
14  0  46264 16348500   5808 3467496    0    0 13580     6 12926 3268 89  5  5  0  1
11  0  46264 15942812   5876 3529900    0    0 31396     0 7446 3840 85  4 10  0  1
 8  3  46264 15831236   5960 3604252    0    0 37188     0 7031 3865 61  2 35  2  0
 8  0  46264 15603076   6056 3699288    0    0 47256     2 6794 3215 52  2 34 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  5  46264 15464460   6148 3798764    0    0 49842     0 7116 3260 54  2 37  7  0
10  5  46264 15229916   6252 3896936    0    0 48870    30 5424 3486 55  2 32 11  0
10  7  46264 15023652   6368 4009352    0    0 56354    82 4879 3066 63  2 15 20  0
 5  6  46264 14888500   6492 4126544    0    0 58684    38 3415 3124 45  1 26 27  0
 6  3  46264 14792004   6584 4223636    0    0 48432     0 4746 3743 37  1 46 15  0
 3  2  46264 14694284   6680 4320772    0    0 48792     0 2258 1749 26  1 64 10  0
 2  0  46264 14609812   6756 4406296    0    0 41896     8 1890 1335 19  1 77  4  0
 1  0  46264 14548260   6816 4467896    0    0 30878     0 1815 1248 14  0 85  0  0
 1  0  46264 14492508   6848 4503816    0    0 17936     0 1425 1067  9  0 91  0  0
 0  0  46264 14475188   6872 4521600    0    0  8844     0 1500  960  4  0 96  0  0
 0  0  46264 14472948   6880 4523640    0    0  1024    44 1361  869  0  0 100  0  0
 0  0  46264 14471276   6884 4525688    0    0  1026     2 1284  895  0  0 100  0  0
 0  0  46264 14469164   6884 4527724    0    0  1024     0 1259  836  0  0 100  0  0
 0  0  46264 14467036   6888 4529772    0    0  1026     6 1321  862  0  0 100  0  0
 0  0  46264 14465380   6888 4531824    0    0  1024     0 1217  898  0  0 100  0  0
 0  0  46264 14463708   6892 4533876    0    0  1026     0 1223  897  0  0 100  0  0
 0  0  46264 14461284   6892 4535928    0    0  1024     0 1279  899  0  0 100  0  0
 1  0  46264 14457180   6896 4537980    0    0  1026     0 1298  844  0  0 100  0  0
 0  0  46264 14453836   6904 4540028    0    0  1024    68 1413  869  0  0 99  0  0
 0  0  46264 14452468   6908 4542088    0    0  1026     0 1310  887  0  0 100  0  0
21  0  46264 14444100   6928 4546432    0    0  2434     0 5963 3869 34  1 65  1  1
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0  46264 14361940   6932 4549208    0    0  1026    38 27416 12431 79  5 16  0  1
12  0  46264 14153996   6932 4551276    0    0  1024     0 14668 4735 86  4 10  0  0
16  0  46264 14051924   6944 4557800    0    0  3334    74 13603 4520 89  5  6  0  0
19  0  46264 13738164   6964 4580560    0    0 11274     0 10377 5121 90  4  5  0  1
23  0  46264 13604084   7000 4610744    0    0 15252     0 6447 3158 92  3  4  0  0
25  0  46264 13476252   7032 4637936    0    0 13580    58 5340 4510 86  3 10  0  1
18  0  46264 13292484   7080 4685240    0    0 23706     0 3512 3250 94  3  3  0  0
12  1  46264 13191412   7132 4729580    0    0 22036     0 3837 3176 92  2  6  0  0
16  0  46264 13108276   7192 4777876    0    0 24218     0 12393 7388 67  2 30  0  0
16  0  46264 12958212   7248 4821336    0    0 21532     0 9646 7510 56  3 41  0  0
14  0  46264 12804996   7304 4874824    0    0 26654     6 4367 3414 63  2 35  0  0
18  0  46264 12641428   7364 4932688    0    0 28958     0 8121 5930 74  3 22  0  0
 0  0  46264 12470428   7400 4969768    0    0 18194     6 4560 2162 66  2 33  0  0
 7  0  46264 12342740   7456 5014612    0    0 22424   138 6752 2451 57  2 41  1  0
13  0  46264 12277708   7480 5044860    0    0 15116     0 7935 4693 59  2 39  0  0
14  0  46264 12189972   7528 5090240    0    0 22808    12 13611 8351 82  3 14  0  0
10  0  46264 11978212   7592 5139668    0    0 24608     0 7649 6022 81  3 16  0  0
13  0  46264 11847188   7640 5189304    0    0 24854    26 3387 2811 73  2 25  0  0
10  0  46264 11750732   7692 5240496    0    0 25496     0 5125 4547 68  2 30  0  0
 9  0  46264 11647060   7748 5293120    0    0 26266     0 4695 4419 57  2 41  0  0
 7  0  46264 11529132   7808 5345128    0    0 25886    24 2625 2150 43  1 56  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  46264 11498140   7844 5376484    0    0 15756    66 2225 1822 29  1 70  0  0
 5  0  46264 11410764   7872 5405724    0    0 14606    70 2577 1797 33  1 66  0  0
 4  0  46264 11325828   7904 5439592    0    0 16910     0 3185 2076 41  1 58  0  0
 3  0  46264 11288460   7948 5476896    0    0 18710     0 2804 1974 29  1 71  0  0
 3  0  46264 11218860   7968 5500056    0    0 11400     0 2469 1577 22  1 77  0  0
 2  0  46264 11198484   7988 5519984    0    0  9994     0 2021 1411 16  0 83  0  0
 1  0  46264 11191812   7992 5527068    0    0  3458     8 1726 1225 12  0 88  0  0
 0  0  46264 11152796   8008 5529116    0    0  1026    66 1811 1136 11  0 88  0  0
 0  0  46264 11150988   8008 5531164    0    0  1024     0 1331  868  0  0 100  0  0
19  0  46264 10855692   8016 5533680    0    0  1168     0 23902 12770 70  4 25  0  0
18  0  46264 10695924   8016 5538080    0    0  2304     0 27622 10666 80  6 15  0  0
19  0  46264 10568996   8052 5566056    0    0 13842    10 18849 8514 81  5 14  0  0
12  0  46264 10408500   8080 5595212    0    0 14736     0 10415 6293 78  4 17  0  0
11  0  46264 10296916   8108 5623256    0    0 13838     0 9098 7442 46  3 51  0  0
16  0  46264 10212244   8140 5657168    0    0 17042    26 8175 6218 54  2 43  0  0
13  0  46264 10126820   8180 5690696    0    0 16656   126 6132 2513 64  2 34  0  0
 3  0  46264 10026956   8216 5728684    0    0 18962     6 4586 3379 56  2 42  0  0
